resistance,node,metric,max_level,avg_level
0.25,33,282.88,1.0,-0.824696
0.25,36,299.22,1.0,-0.81521
0.25,220,279.84,1.0,-0.8318200000000003
0.25,613,294.1,1.0,-0.8232140000000004
0.25,625,288.26,1.0,-0.821698
0.25,714,278.8,1.0,-0.8261439999999999
0.25,753,291.9,1.0,-0.8257099999999998
0.25,895,291.84,1.0,-0.8221280000000002
0.25,987,287.4,1.0,-0.8213079999999999
0.25,1003,276.7,1.0,-0.8372060000000003
0.25,1072,287.54,1.0,-0.8286339999999996
0.25,1162,282.98,1.0,-0.8280140000000001
0.25,1198,285.44,1.0,-0.8253520000000001
0.25,1214,298.12,1.0,-0.8260639999999998
0.25,1779,297.58,1.0,-0.8156259999999999
0.25,1813,292.72,1.0,-0.8259920000000004
0.25,1908,292.94,1.0,-0.8229140000000003
0.25,2108,291.62,1.0,-0.822954
0.25,2120,286.12,1.0,-0.827288
0.25,2162,291.76,1.0,-0.8227560000000002
0.25,2208,289.36,1.0,-0.8245239999999999
0.25,2211,295.46,1.0,-0.8226619999999998
0.25,2310,305.6,1.0,-0.8104560000000002
0.25,2458,284.04,1.0,-0.8280920000000005
0.25,2489,300.18,1.0,-0.8249179999999998
0.25,2505,291.92,1.0,-0.8222559999999999
0.25,2547,294.32,1.0,-0.825792
0.25,2567,295.32,1.0,-0.82138
0.25,2740,289.08,1.0,-0.8234279999999998
0.25,2760,298.88,1.0,-0.8129120000000003
0.25,2762,293.62,1.0,-0.8231059999999999
0.25,2834,278.3,1.0,-0.8322059999999999
0.25,3025,296.46,1.0,-0.8220780000000001
0.25,3066,296.68,1.0,-0.8246000000000001
0.25,3105,292.86,1.0,-0.8225739999999999
0.25,3115,286.7,1.0,-0.8278260000000001
0.25,3190,288.0,1.0,-0.8224799999999998
0.25,3256,287.46,1.0,-0.821702
0.25,3266,285.92,1.0,-0.829224
0.25,3395,292.62,1.0,-0.821666
0.25,3409,287.5,1.0,-0.8292419999999998
0.25,3433,277.0,1.0,-0.8338800000000001
0.25,3508,283.88,1.0,-0.825448
0.25,3726,285.24,1.0,-0.8316239999999999
0.25,3746,276.78,1.0,-0.8375099999999999
0.25,3936,304.28,1.0,-0.8179119999999998
0.25,3991,287.68,1.0,-0.8271479999999998
0.25,4018,286.38,1.0,-0.8203539999999999
0.25,4029,295.82,1.0,-0.8179059999999998
0.25,4071,295.08,1.0,-0.8190679999999999
0.25,4122,288.28,1.0,-0.829116
0.25,4204,275.28,1.0,-0.8402720000000001
0.25,4339,292.44,1.0,-0.8231599999999999
0.25,4459,288.86,1.0,-0.8245820000000001
0.25,4492,281.08,1.0,-0.8307800000000001
0.25,4515,285.3,1.0,-0.8301020000000001
0.25,4554,299.38,1.0,-0.8101100000000002
0.25,4925,284.8,1.0,-0.8295960000000002
0.25,5126,281.28,1.0,-0.833116
0.25,5315,283.5,1.0,-0.8276859999999999
0.25,5321,285.9,1.0,-0.825466
0.25,5347,287.5,1.0,-0.8167339999999998
0.25,5441,293.88,1.0,-0.8162519999999998
0.25,5789,290.3,1.0,-0.819602
0.25,5861,293.6,1.0,-0.8238800000000002
0.25,5980,296.7,1.0,-0.822054
0.25,6016,297.8,1.0,-0.8201519999999998
0.25,6020,298.58,1.0,-0.8237059999999999
0.25,6182,297.96,1.0,-0.8305399999999997
0.25,6316,289.62,1.0,-0.8239019999999999
0.25,6373,296.22,1.0,-0.8156620000000001
0.25,6439,289.88,1.0,-0.8244119999999999
0.25,6486,285.84,1.0,-0.83146
0.25,6604,292.88,1.0,-0.8187480000000003
0.25,6675,289.08,1.0,-0.8229120000000002
0.25,6992,293.64,1.0,-0.820072
0.25,7089,274.8,1.0,-0.8335919999999998
0.25,7199,291.58,1.0,-0.825646
0.25,7297,296.86,1.0,-0.8121179999999998
0.25,7360,287.3,1.0,-0.8322739999999998
0.25,7497,285.1,1.0,-0.8252939999999999
0.25,7517,284.38,1.0,-0.8243419999999998
0.25,7707,292.64,1.0,-0.8253360000000001
0.25,7808,286.16,1.0,-0.8287280000000001
0.25,7822,274.08,1.0,-0.8363720000000001
0.25,7914,305.54,1.0,-0.8168979999999998
