resistance,metric,max_level,avg_level
0.25,5000.0,2.9546,0.6207955999999988
0.5,3092.6068,1.0,0.3781992800000005
0.75,3092.6068,1.0,0.3781992800000005
1.0,3092.6068,1.0,0.3781992800000005
