,realization,node,resistance,metric,max_level,avg_level
0,0,1323,0.25,5000,1,0.2928
1,0,1323,0.5,5000,3,0.4176
2,0,1323,0.75,3536,1,0.2928
3,0,1323,1.0,3536,1,0.2928
4,0,170,0.25,5000,1,0.0282
5,0,170,0.5,5000,1,0.0282
6,0,170,0.75,4859,1,0.0282
7,0,170,1.0,4859,1,0.0282
8,0,4524,0.25,5000,1,0.0634
9,0,4524,0.5,5000,2,0.0648
10,0,4524,0.75,4683,1,0.0634
11,0,4524,1.0,4683,1,0.0634
12,0,4908,0.25,5000,1,0.09
13,0,4908,0.5,5000,2,0.0962
14,0,4908,0.75,4550,1,0.09
15,0,4908,1.0,4550,1,0.09
16,0,4867,0.25,5000,1,0.1228
17,0,4867,0.5,5000,3,0.134
18,0,4867,0.75,4386,1,0.1228
19,0,4867,1.0,4386,1,0.1228
20,0,741,0.25,5000,2,0.3898
21,0,741,0.5,5000,4,0.688
22,0,741,0.75,3086,1,0.3828
23,0,741,1.0,3086,1,0.3828
24,0,2474,0.25,5000,1,0.1316
25,0,2474,0.5,5000,2,0.1466
26,0,2474,0.75,4342,1,0.1316
27,0,2474,1.0,4342,1,0.1316
28,0,2264,0.25,5000,1,0.0052
29,0,2264,0.5,5000,1,0.0052
30,0,2264,0.75,4974,1,0.0052
31,0,2264,1.0,4974,1,0.0052
32,0,2426,0.25,5000,1,0.2562
33,0,2426,0.5,5000,3,0.339
34,0,2426,0.75,3719,1,0.2562
35,0,2426,1.0,3719,1,0.2562
36,0,4991,0.25,5000,1,0.1306
37,0,4991,0.5,5000,3,0.1444
38,0,4991,0.75,4348,2,0.261
39,0,4991,1.0,4347,1,0.1306
40,0,3911,0.25,5000,1,0.0772
41,0,3911,0.5,5000,2,0.082
42,0,3911,0.75,4614,1,0.0772
43,0,3911,1.0,4614,1,0.0772
44,0,2936,0.25,5000,1,0.0076
45,0,2936,0.5,5000,1,0.0076
46,0,2936,0.75,4962,1,0.0076
47,0,2936,1.0,4962,1,0.0076
48,0,4214,0.25,5000,1,0.0008
49,0,4214,0.5,5000,1,0.0008
50,0,4214,0.75,4996,1,0.0008
51,0,4214,1.0,4996,1,0.0008
52,0,36,0.25,5000,1,0.1368
53,0,36,0.5,5000,3,0.1506
54,0,36,0.75,4317,2,0.2734
55,0,36,1.0,4316,1,0.1368
