,realization,node,resistance,metric,max_level,avg_level
0,0,8079,0.25,2,0,-0.9998
1,0,8079,0.5,2,0,-0.9998
2,0,8079,0.75,2,0,-0.9998
3,0,8079,1.0,2,0,-0.9998
4,0,2401,0.25,3,1,-0.9993
5,0,2401,0.5,3,1,-0.9993
6,0,2401,0.75,3,1,-0.9993
7,0,2401,1.0,3,1,-0.9993
8,0,2876,0.25,1,0,-0.9999
9,0,2876,0.5,1,0,-0.9999
10,0,2876,0.75,1,0,-0.9999
11,0,2876,1.0,1,0,-0.9999
12,0,5055,0.25,2,0,-0.9998
13,0,5055,0.5,2,0,-0.9998
14,0,5055,0.75,2,0,-0.9998
15,0,5055,1.0,2,0,-0.9998
16,0,3284,0.25,2,0,-0.9998
17,0,3284,0.5,2,0,-0.9998
18,0,3284,0.75,2,0,-0.9998
19,0,3284,1.0,2,0,-0.9998
20,0,2389,0.25,1,0,-0.9999
21,0,2389,0.5,1,0,-0.9999
22,0,2389,0.75,1,0,-0.9999
23,0,2389,1.0,1,0,-0.9999
24,0,5266,0.25,1,0,-0.9999
25,0,5266,0.5,1,0,-0.9999
26,0,5266,0.75,1,0,-0.9999
27,0,5266,1.0,1,0,-0.9999
28,0,6325,0.25,1,0,-0.9999
29,0,6325,0.5,1,0,-0.9999
30,0,6325,0.75,1,0,-0.9999
31,0,6325,1.0,1,0,-0.9999
32,0,989,0.25,2,0,-0.9998
33,0,989,0.5,2,0,-0.9998
34,0,989,0.75,2,0,-0.9998
35,0,989,1.0,2,0,-0.9998
36,0,9164,0.25,3,0,-0.9997
37,0,9164,0.5,3,0,-0.9997
38,0,9164,0.75,3,0,-0.9997
39,0,9164,1.0,3,0,-0.9997
40,0,3697,0.25,1,0,-0.9999
41,0,3697,0.5,1,0,-0.9999
42,0,3697,0.75,1,0,-0.9999
43,0,3697,1.0,1,0,-0.9999
44,0,4580,0.25,2,1,-0.9996
45,0,4580,0.5,2,1,-0.9996
46,0,4580,0.75,2,1,-0.9996
47,0,4580,1.0,2,1,-0.9996
48,0,5317,0.25,2,0,-0.9998
49,0,5317,0.5,2,0,-0.9998
50,0,5317,0.75,2,0,-0.9998
51,0,5317,1.0,2,0,-0.9998
52,0,9216,0.25,1,0,-0.9999
53,0,9216,0.5,1,0,-0.9999
54,0,9216,0.75,1,0,-0.9999
55,0,9216,1.0,1,0,-0.9999
56,0,9249,0.25,1,0,-0.9999
57,0,9249,0.5,1,0,-0.9999
58,0,9249,0.75,1,0,-0.9999
59,0,9249,1.0,1,0,-0.9999
60,0,1137,0.25,1,0,-0.9999
61,0,1137,0.5,1,0,-0.9999
62,0,1137,0.75,1,0,-0.9999
63,0,1137,1.0,1,0,-0.9999
64,0,7085,0.25,1,0,-0.9999
65,0,7085,0.5,1,0,-0.9999
66,0,7085,0.75,1,0,-0.9999
67,0,7085,1.0,1,0,-0.9999
68,0,6463,0.25,1,0,-0.9999
69,0,6463,0.5,1,0,-0.9999
70,0,6463,0.75,1,0,-0.9999
71,0,6463,1.0,1,0,-0.9999
72,0,8748,0.25,2,0,-0.9998
73,0,8748,0.5,2,0,-0.9998
74,0,8748,0.75,2,0,-0.9998
75,0,8748,1.0,2,0,-0.9998
76,0,5575,0.25,1,0,-0.9999
77,0,5575,0.5,1,0,-0.9999
78,0,5575,0.75,1,0,-0.9999
79,0,5575,1.0,1,0,-0.9999
80,0,2464,0.25,1,0,-0.9999
81,0,2464,0.5,1,0,-0.9999
82,0,2464,0.75,1,0,-0.9999
83,0,2464,1.0,1,0,-0.9999
