,realization,node,resistance,metric,max_level,avg_level
0,0,6816,0.25,10000,1,0.145
1,0,6816,0.5,10000,3,0.1641
2,0,6816,0.75,8550,1,0.145
3,0,6816,1.0,8550,1,0.145
4,0,1935,0.25,10000,1,0.2465
5,0,1935,0.5,10000,3,0.3229
6,0,1935,0.75,7535,1,0.2465
7,0,1935,1.0,7535,1,0.2465
8,0,6390,0.25,10000,1,0.2716
9,0,6390,0.5,10000,3,0.3845
10,0,6390,0.75,7284,1,0.2716
11,0,6390,1.0,7284,1,0.2716
12,0,2521,0.25,10000,1,0.0187
13,0,2521,0.5,10000,1,0.0187
14,0,2521,0.75,9813,1,0.0187
15,0,2521,1.0,9813,1,0.0187
16,0,7625,0.25,10000,0,0.0
17,0,7625,0.5,10000,0,0.0
18,0,7625,0.75,10000,0,0.0
19,0,7625,1.0,10000,0,0.0
20,0,5918,0.25,10000,1,0.0927
21,0,5918,0.5,10000,2,0.101
22,0,5918,0.75,9073,1,0.0927
23,0,5918,1.0,9073,1,0.0927
24,0,3567,0.25,10000,1,0.0619
25,0,3567,0.5,10000,2,0.0648
26,0,3567,0.75,9381,1,0.0619
27,0,3567,1.0,9381,1,0.0619
28,0,5981,0.25,10000,2,0.5098
29,0,5981,0.5,10000,5,1.352
30,0,5981,0.75,5179,1,0.4821
31,0,5981,1.0,5179,1,0.4821
32,0,80,0.25,10000,2,0.3584
33,0,80,0.5,10000,4,0.6136
34,0,80,0.75,6448,1,0.3552
35,0,80,1.0,6448,1,0.3552
36,0,9521,0.25,10000,1,0.2482
37,0,9521,0.5,10000,3,0.3242
38,0,9521,0.75,7518,1,0.2482
39,0,9521,1.0,7518,1,0.2482
40,0,9772,0.25,10000,1,0.1421
41,0,9772,0.5,10000,2,0.1591
42,0,9772,0.75,8583,2,0.2838
43,0,9772,1.0,8579,1,0.1421
44,0,3797,0.25,10000,1,0.1251
45,0,3797,0.5,10000,2,0.1385
46,0,3797,0.75,8752,2,0.2499
47,0,3797,1.0,8749,1,0.1251
48,0,5545,0.25,10000,1,0.1956
49,0,5545,0.5,10000,3,0.2311
50,0,5545,0.75,8044,1,0.1956
51,0,5545,1.0,8044,1,0.1956
52,0,3119,0.25,10000,1,0.2578
53,0,3119,0.5,10000,3,0.3508
54,0,3119,0.75,7422,1,0.2578
55,0,3119,1.0,7422,1,0.2578
56,0,1792,0.25,10000,1,0.2134
57,0,1792,0.5,10000,3,0.2639
58,0,1792,0.75,7866,1,0.2134
59,0,1792,1.0,7866,1,0.2134
60,0,307,0.25,10000,1,0.1866
61,0,307,0.5,10000,3,0.2251
62,0,307,0.75,8134,1,0.1866
63,0,307,1.0,8134,1,0.1866
64,0,6641,0.25,10000,1,0.1145
65,0,6641,0.5,10000,2,0.1242
66,0,6641,0.75,8855,1,0.1145
67,0,6641,1.0,8855,1,0.1145
68,0,6016,0.25,10000,2,0.3384
69,0,6016,0.5,10000,4,0.5516
70,0,6016,0.75,6633,1,0.3367
71,0,6016,1.0,6633,1,0.3367
72,0,3251,0.25,10000,1,0.1848
73,0,3251,0.5,10000,3,0.2196
74,0,3251,0.75,8152,1,0.1848
75,0,3251,1.0,8152,1,0.1848
76,0,9597,0.25,10000,1,0.0949
77,0,9597,0.5,10000,2,0.1025
78,0,9597,0.75,9051,1,0.0949
79,0,9597,1.0,9051,1,0.0949
80,0,7858,0.25,10000,1,0.0304
81,0,7858,0.5,10000,2,0.0312
82,0,7858,0.75,9696,1,0.0304
83,0,7858,1.0,9696,1,0.0304
84,0,9579,0.25,10000,1,0.0827
85,0,9579,0.5,10000,2,0.0894
86,0,9579,0.75,9173,1,0.0827
87,0,9579,1.0,9173,1,0.0827
88,0,6944,0.25,10000,0,0.0
89,0,6944,0.5,10000,0,0.0
90,0,6944,0.75,10000,0,0.0
91,0,6944,1.0,10000,0,0.0
92,0,3943,0.25,10000,1,0.0032
93,0,3943,0.5,10000,1,0.0032
94,0,3943,0.75,9968,1,0.0032
95,0,3943,1.0,9968,1,0.0032
96,0,8413,0.25,10000,1,0.1055
97,0,8413,0.5,10000,3,0.114
98,0,8413,0.75,8945,1,0.1055
99,0,8413,1.0,8945,1,0.1055
100,0,1380,0.25,10000,1,0.0365
101,0,1380,0.5,10000,2,0.0376
102,0,1380,0.75,9635,1,0.0365
103,0,1380,1.0,9635,1,0.0365
104,0,1275,0.25,10000,1,0.0735
105,0,1275,0.5,10000,2,0.0788
106,0,1275,0.75,9265,1,0.0735
107,0,1275,1.0,9265,1,0.0735
108,0,7875,0.25,10000,1,0.0886
109,0,7875,0.5,10000,2,0.0961
110,0,7875,0.75,9114,1,0.0886
111,0,7875,1.0,9114,1,0.0886
112,0,7448,0.25,10000,1,0.0441
113,0,7448,0.5,10000,2,0.0449
114,0,7448,0.75,9559,1,0.0441
115,0,7448,1.0,9559,1,0.0441
116,0,4523,0.25,10000,2,0.301
117,0,4523,0.5,10000,4,0.4451
118,0,4523,0.75,6993,1,0.3007
119,0,4523,1.0,6993,1,0.3007
120,0,5750,0.25,10000,2,0.3195
121,0,5750,0.5,10000,4,0.4946
122,0,5750,0.75,6806,1,0.3194
123,0,5750,1.0,6806,1,0.3194
124,0,9777,0.25,10000,2,0.328
125,0,9777,0.5,10000,4,0.5222
126,0,9777,0.75,6736,1,0.3264
127,0,9777,1.0,6736,1,0.3264
128,0,9945,0.25,10000,2,0.4325
129,0,9945,0.5,10000,5,0.8775
130,0,9945,0.75,5798,1,0.4202
131,0,9945,1.0,5798,1,0.4202
132,0,3326,0.25,10000,1,0.2298
133,0,3326,0.5,10000,3,0.2927
134,0,3326,0.75,7702,1,0.2298
135,0,3326,1.0,7702,1,0.2298
136,0,8197,0.25,10000,1,0.1762
137,0,8197,0.5,10000,3,0.2031
138,0,8197,0.75,8238,1,0.1762
139,0,8197,1.0,8238,1,0.1762
140,0,5142,0.25,10000,1,0.0015
141,0,5142,0.5,10000,1,0.0015
142,0,5142,0.75,9985,1,0.0015
143,0,5142,1.0,9985,1,0.0015
144,0,697,0.25,10000,1,0.2488
145,0,697,0.5,10000,3,0.3307
146,0,697,0.75,7512,1,0.2488
147,0,697,1.0,7512,1,0.2488
148,0,8605,0.25,10000,2,0.3223
149,0,8605,0.5,10000,4,0.5052
150,0,8605,0.75,6787,1,0.3213
151,0,8605,1.0,6787,1,0.3213
152,0,8008,0.25,10000,0,0.0
153,0,8008,0.5,10000,0,0.0
154,0,8008,0.75,10000,0,0.0
155,0,8008,1.0,10000,0,0.0
156,0,6045,0.25,10000,1,0.0319
157,0,6045,0.5,10000,2,0.0332
158,0,6045,0.75,9681,1,0.0319
159,0,6045,1.0,9681,1,0.0319
160,0,1589,0.25,10000,1,0.2513
161,0,1589,0.5,10000,3,0.3281
162,0,1589,0.75,7487,1,0.2513
163,0,1589,1.0,7487,1,0.2513
164,0,493,0.25,10000,2,0.4901
165,0,493,0.5,10000,5,1.1572
166,0,493,0.75,5336,1,0.4664
167,0,493,1.0,5336,1,0.4664
168,0,6628,0.25,10000,1,0.0204
169,0,6628,0.5,10000,2,0.0213
170,0,6628,0.75,9796,1,0.0204
171,0,6628,1.0,9796,1,0.0204
172,0,1376,0.25,10000,1,0.042
173,0,1376,0.5,10000,2,0.0437
174,0,1376,0.75,9580,1,0.042
175,0,1376,1.0,9580,1,0.042
176,0,8672,0.25,10000,1,0.0866
177,0,8672,0.5,10000,2,0.0913
178,0,8672,0.75,9134,1,0.0866
179,0,8672,1.0,9134,1,0.0866
180,0,7520,0.25,10000,1,0.2619
181,0,7520,0.5,10000,3,0.3618
182,0,7520,0.75,7381,1,0.2619
183,0,7520,1.0,7381,1,0.2619
184,0,2506,0.25,10000,1,0.0111
