,realization,node,resistance,metric,max_level,avg_level
0,0,7366,0.25,10000,3,0.5208
1,0,7366,0.5,6365,1,0.3635
2,0,7366,0.75,6365,1,0.3635
3,0,7366,1.0,6365,1,0.3635
4,0,122,0.25,10000,3,0.5904
5,0,122,0.5,6060,1,0.394
6,0,122,0.75,6060,1,0.394
7,0,122,1.0,6060,1,0.394
8,0,9494,0.25,10000,5,1.6803
9,0,9494,0.5,3288,1,0.6164
10,0,9494,0.75,3288,1,0.6164
11,0,9494,1.0,3288,1,0.6164
12,0,599,0.25,10000,5,1.5454
13,0,599,0.5,3498,1,0.6082
14,0,599,0.75,3498,1,0.6082
15,0,599,1.0,3498,1,0.6082
16,0,9755,0.25,10000,3,0.7686
17,0,9755,0.5,5247,1,0.4753
18,0,9755,0.75,5247,1,0.4753
19,0,9755,1.0,5247,1,0.4753
20,0,2788,0.25,10000,3,0.725
21,0,2788,0.5,5485,1,0.4515
22,0,2788,0.75,5485,1,0.4515
23,0,2788,1.0,5485,1,0.4515
24,0,6292,0.25,10000,3,0.6153
25,0,6292,0.5,5770,1,0.423
26,0,6292,0.75,5770,1,0.423
27,0,6292,1.0,5770,1,0.423
28,0,4994,0.25,10000,2,0.2983
29,0,4994,0.5,7394,1,0.2606
30,0,4994,0.75,7394,1,0.2606
31,0,4994,1.0,7394,1,0.2606
32,0,11,0.25,10000,3,0.4663
33,0,11,0.5,6560,2,0.4332
34,0,11,0.75,6559,1,0.3441
35,0,11,1.0,6559,1,0.3441
36,0,6892,0.25,10000,3,0.6877
37,0,6892,0.5,5668,1,0.4332
38,0,6892,0.75,5668,1,0.4332
39,0,6892,1.0,5668,1,0.4332
40,0,9011,0.25,10000,2,0.1455
41,0,9011,0.5,8591,1,0.1409
42,0,9011,0.75,8591,1,0.1409
43,0,9011,1.0,8591,1,0.1409
44,0,7302,0.25,10000,2,0.1833
45,0,7302,0.5,8304,1,0.1696
46,0,7302,0.75,8304,1,0.1696
47,0,7302,1.0,8304,1,0.1696
48,0,1269,0.25,10000,3,0.3641
49,0,1269,0.5,7041,1,0.2959
50,0,1269,0.75,7041,1,0.2959
51,0,1269,1.0,7041,1,0.2959
52,0,3027,0.25,10000,3,0.6948
53,0,3027,0.5,5493,1,0.4507
54,0,3027,0.75,5493,1,0.4507
55,0,3027,1.0,5493,1,0.4507
56,0,7446,0.25,10000,3,0.5945
57,0,7446,0.5,5948,1,0.4052
58,0,7446,0.75,5948,1,0.4052
59,0,7446,1.0,5948,1,0.4052
60,0,7139,0.25,10000,4,1.0003
61,0,7139,0.5,4568,1,0.543
62,0,7139,0.75,4568,1,0.543
63,0,7139,1.0,4568,1,0.543
64,0,7123,0.25,10000,4,1.1396
65,0,7123,0.5,4229,1,0.5713
66,0,7123,0.75,4229,1,0.5713
67,0,7123,1.0,4229,1,0.5713
68,0,5464,0.25,10000,2,0.2237
69,0,5464,0.5,7970,1,0.203
70,0,5464,0.75,7970,1,0.203
71,0,5464,1.0,7970,1,0.203
72,0,4417,0.25,10000,4,0.989
73,0,4417,0.5,4613,1,0.5369
74,0,4417,0.75,4613,1,0.5369
75,0,4417,1.0,4613,1,0.5369
76,0,9667,0.25,10000,4,0.8809
77,0,9667,0.5,4897,1,0.5103
78,0,9667,0.75,4897,1,0.5103
79,0,9667,1.0,4897,1,0.5103
80,0,70,0.25,10000,1,0.0578
81,0,70,0.5,9422,1,0.0578
82,0,70,0.75,9422,1,0.0578
83,0,70,1.0,9422,1,0.0578
84,0,6534,0.25,10000,3,0.5861
85,0,6534,0.5,6052,1,0.3948
86,0,6534,0.75,6052,1,0.3948
87,0,6534,1.0,6052,1,0.3948
88,0,9304,0.25,10000,2,0.1121
89,0,9304,0.5,8893,1,0.1107
90,0,9304,0.75,8893,1,0.1107
91,0,9304,1.0,8893,1,0.1107
92,0,1362,0.25,10000,3,0.6211
93,0,1362,0.5,5788,1,0.4212
94,0,1362,0.75,5788,1,0.4212
95,0,1362,1.0,5788,1,0.4212
96,0,6298,0.25,10000,4,0.9435
97,0,6298,0.5,4700,1,0.5288
98,0,6298,0.75,4700,1,0.5288
99,0,6298,1.0,4700,1,0.5288
100,0,6948,0.25,10000,2,0.1129
101,0,6948,0.5,8895,1,0.1105
102,0,6948,0.75,8895,1,0.1105
103,0,6948,1.0,8895,1,0.1105
104,0,6212,0.25,10000,2,0.2661
105,0,6212,0.5,7623,1,0.2377
106,0,6212,0.75,7623,1,0.2377
107,0,6212,1.0,7623,1,0.2377
108,0,7343,0.25,10000,3,0.5872
109,0,7343,0.5,5967,1,0.4033
110,0,7343,0.75,5967,1,0.4033
111,0,7343,1.0,5967,1,0.4033
112,0,6267,0.25,10000,2,0.3225
113,0,6267,0.5,7224,1,0.2776
114,0,6267,0.75,7224,1,0.2776
115,0,6267,1.0,7224,1,0.2776
116,0,7002,0.25,10000,3,0.5073
117,0,7002,0.5,6304,1,0.3696
118,0,7002,0.75,6304,1,0.3696
119,0,7002,1.0,6304,1,0.3696
120,0,887,0.25,10000,4,1.2786
121,0,887,0.5,3984,1,0.5832
122,0,887,0.75,3984,1,0.5832
123,0,887,1.0,3984,1,0.5832
124,0,3523,0.25,10000,3,0.3635
125,0,3523,0.5,7094,1,0.2906
126,0,3523,0.75,7094,1,0.2906
127,0,3523,1.0,7094,1,0.2906
128,0,437,0.25,10000,2,0.3129
129,0,437,0.5,7342,1,0.2658
130,0,437,0.75,7342,1,0.2658
131,0,437,1.0,7342,1,0.2658
132,0,146,0.25,10000,2,0.2159
133,0,146,0.5,8035,1,0.1965
134,0,146,0.75,8035,1,0.1965
135,0,146,1.0,8035,1,0.1965
136,0,1873,0.25,10000,2,0.3172
137,0,1873,0.5,7313,1,0.2687
138,0,1873,0.75,7313,1,0.2687
139,0,1873,1.0,7313,1,0.2687
140,0,138,0.25,10000,5,1.8486
141,0,138,0.5,3076,1,0.6214
142,0,138,0.75,3076,1,0.6214
143,0,138,1.0,3076,1,0.6214
144,0,3381,0.25,10000,2,0.3008
145,0,3381,0.5,7469,1,0.2531
146,0,3381,0.75,7469,1,0.2531
147,0,3381,1.0,7469,1,0.2531
148,0,4164,0.25,10000,3,0.5354
149,0,4164,0.5,6192,1,0.3808
150,0,4164,0.75,6192,1,0.3808
151,0,4164,1.0,6192,1,0.3808
152,0,3968,0.25,10000,2,0.1972
153,0,3968,0.5,8163,1,0.1837
154,0,3968,0.75,8163,1,0.1837
155,0,3968,1.0,8163,1,0.1837
156,0,1772,0.25,10000,3,0.5231
157,0,1772,0.5,6370,1,0.363
158,0,1772,0.75,6370,1,0.363
159,0,1772,1.0,6370,1,0.363
160,0,7382,0.25,10000,4,1.4956
161,0,7382,0.5,3585,1,0.6019
162,0,7382,0.75,3585,1,0.6019
163,0,7382,1.0,3585,1,0.6019
164,0,8396,0.25,10000,2,0.2743
165,0,8396,0.5,7635,1,0.2365
