,realization,node,resistance,metric,max_level,avg_level
0,0,904,0.25,1473,1,0.2734
1,0,904,0.5,1473,1,0.2734
2,0,904,0.75,1473,1,0.2734
3,0,904,1.0,1473,1,0.2734
4,0,4753,0.25,1235,1,0.051
5,0,4753,0.5,1235,1,0.051
6,0,4753,0.75,1235,1,0.051
7,0,4753,1.0,1235,1,0.051
8,0,3690,0.25,1056,1,-0.0696
9,0,3690,0.5,1056,1,-0.0696
10,0,3690,0.75,1056,1,-0.0696
11,0,3690,1.0,1056,1,-0.0696
12,0,4047,0.25,1432,1,0.368
13,0,4047,0.5,1432,1,0.368
14,0,4047,0.75,1432,1,0.368
15,0,4047,1.0,1432,1,0.368
16,0,3825,0.25,1490,1,0.5584
17,0,3825,0.5,1490,1,0.5584
18,0,3825,0.75,1490,1,0.5584
19,0,3825,1.0,1490,1,0.5584
20,0,3123,0.25,1242,1,0.0032
21,0,3123,0.5,1242,1,0.0032
22,0,3123,0.75,1242,1,0.0032
23,0,3123,1.0,1242,1,0.0032
24,0,3376,0.25,654,1,-0.3164
25,0,3376,0.5,654,1,-0.3164
26,0,3376,0.75,654,1,-0.3164
27,0,3376,1.0,654,1,-0.3164
28,0,1919,0.25,918,1,0.0188
29,0,1919,0.5,918,1,0.0188
30,0,1919,0.75,918,1,0.0188
31,0,1919,1.0,918,1,0.0188
32,0,2297,0.25,860,1,-0.0272
33,0,2297,0.5,860,1,-0.0272
34,0,2297,0.75,860,1,-0.0272
35,0,2297,1.0,860,1,-0.0272
36,0,3955,0.25,1450,1,0.1628
37,0,3955,0.5,1450,1,0.1628
38,0,3955,0.75,1450,1,0.1628
39,0,3955,1.0,1450,1,0.1628
40,0,2446,0.25,903,1,-0.1742
41,0,2446,0.5,903,1,-0.1742
42,0,2446,0.75,903,1,-0.1742
43,0,2446,1.0,903,1,-0.1742
44,0,4007,0.25,1197,1,0.119
45,0,4007,0.5,1197,1,0.119
46,0,4007,0.75,1197,1,0.119
47,0,4007,1.0,1197,1,0.119
48,0,3926,0.25,1388,1,0.2268
49,0,3926,0.5,1388,1,0.2268
50,0,3926,0.75,1388,1,0.2268
51,0,3926,1.0,1388,1,0.2268
52,0,816,0.25,1395,1,0.2958
53,0,816,0.5,1395,1,0.2958
54,0,816,0.75,1395,1,0.2958
55,0,816,1.0,1395,1,0.2958
56,0,1600,0.25,1017,1,-0.0902
57,0,1600,0.5,1017,1,-0.0902
58,0,1600,0.75,1017,1,-0.0902
59,0,1600,1.0,1017,1,-0.0902
60,0,241,0.25,1388,1,0.3
61,0,241,0.5,1388,1,0.3
62,0,241,0.75,1388,1,0.3
63,0,241,1.0,1388,1,0.3
64,0,2989,0.25,1303,1,0.1582
65,0,2989,0.5,1303,1,0.1582
66,0,2989,0.75,1303,1,0.1582
67,0,2989,1.0,1303,1,0.1582
68,0,621,0.25,1492,1,0.488
69,0,621,0.5,1492,1,0.488
70,0,621,0.75,1492,1,0.488
71,0,621,1.0,1492,1,0.488
72,0,4435,0.25,666,1,-0.2896
73,0,4435,0.5,666,1,-0.2896
74,0,4435,0.75,666,1,-0.2896
75,0,4435,1.0,666,1,-0.2896
76,0,4814,0.25,1041,1,-0.1078
77,0,4814,0.5,1041,1,-0.1078
78,0,4814,0.75,1041,1,-0.1078
79,0,4814,1.0,1041,1,-0.1078
80,0,4787,0.25,1108,1,0.1092
81,0,4787,0.5,1108,1,0.1092
82,0,4787,0.75,1108,1,0.1092
83,0,4787,1.0,1108,1,0.1092
84,0,1720,0.25,1372,1,0.1388
85,0,1720,0.5,1372,1,0.1388
86,0,1720,0.75,1372,1,0.1388
87,0,1720,1.0,1372,1,0.1388
88,0,1011,0.25,929,1,-0.1746
89,0,1011,0.5,929,1,-0.1746
90,0,1011,0.75,929,1,-0.1746
91,0,1011,1.0,929,1,-0.1746
92,0,2839,0.25,1468,1,0.4708
93,0,2839,0.5,1468,1,0.4708
94,0,2839,0.75,1468,1,0.4708
95,0,2839,1.0,1468,1,0.4708
96,0,3060,0.25,1210,1,0.1668
97,0,3060,0.5,1210,1,0.1668
98,0,3060,0.75,1210,1,0.1668
99,0,3060,1.0,1210,1,0.1668
100,0,2327,0.25,784,1,-0.0656
101,0,2327,0.5,784,1,-0.0656
102,0,2327,0.75,784,1,-0.0656
103,0,2327,1.0,784,1,-0.0656
104,0,2896,0.25,1200,1,-0.0468
105,0,2896,0.5,1200,1,-0.0468
106,0,2896,0.75,1200,1,-0.0468
107,0,2896,1.0,1200,1,-0.0468
108,0,4814,0.25,1041,1,-0.1078
109,0,4814,0.5,1041,1,-0.1078
110,0,4814,0.75,1041,1,-0.1078
111,0,4814,1.0,1041,1,-0.1078
112,0,4587,0.25,1484,1,0.5464
113,0,4587,0.5,1484,1,0.5464
114,0,4587,0.75,1484,1,0.5464
115,0,4587,1.0,1484,1,0.5464
116,0,4240,0.25,1423,1,0.255
117,0,4240,0.5,1423,1,0.255
118,0,4240,0.75,1423,1,0.255
119,0,4240,1.0,1423,1,0.255
120,0,602,0.25,487,1,-0.3986
121,0,602,0.5,487,1,-0.3986
122,0,602,0.75,487,1,-0.3986
123,0,602,1.0,487,1,-0.3986
124,0,4368,0.25,707,1,-0.1118
125,0,4368,0.5,707,1,-0.1118
126,0,4368,0.75,707,1,-0.1118
127,0,4368,1.0,707,1,-0.1118
128,0,4242,0.25,1103,1,0.0782
129,0,4242,0.5,1103,1,0.0782
130,0,4242,0.75,1103,1,0.0782
131,0,4242,1.0,1103,1,0.0782
132,0,2718,0.25,1475,1,0.5774
133,0,2718,0.5,1475,1,0.5774
134,0,2718,0.75,1475,1,0.5774
135,0,2718,1.0,1475,1,0.5774
136,0,4947,0.25,1487,1,0.5522
137,0,4947,0.5,1487,1,0.5522
138,0,4947,0.75,1487,1,0.5522
139,0,4947,1.0,1487,1,0.5522
140,0,172,0.25,1004,1,-0.1244
141,0,172,0.5,1004,1,-0.1244
142,0,172,0.75,1004,1,-0.1244
143,0,172,1.0,1004,1,-0.1244
144,0,136,0.25,566,1,-0.3484
145,0,136,0.5,566,1,-0.3484
146,0,136,0.75,566,1,-0.3484
147,0,136,1.0,566,1,-0.3484
148,0,3964,0.25,1084,1,0.0352
149,0,3964,0.5,1084,1,0.0352
150,0,3964,0.75,1084,1,0.0352
151,0,3964,1.0,1084,1,0.0352
152,0,2279,0.25,1105,1,-0.081
153,0,2279,0.5,1105,1,-0.081
154,0,2279,0.75,1105,1,-0.081
155,0,2279,1.0,1105,1,-0.081
156,0,370,0.25,854,1,-0.0128
157,0,370,0.5,854,1,-0.0128
158,0,370,0.75,854,1,-0.0128
159,0,370,1.0,854,1,-0.0128
160,0,3246,0.25,762,1,-0.1032
161,0,3246,0.5,762,1,-0.1032
162,0,3246,0.75,762,1,-0.1032
163,0,3246,1.0,762,1,-0.1032
164,0,889,0.25,755,1,-0.2258
165,0,889,0.5,755,1,-0.2258
166,0,889,0.75,755,1,-0.2258
167,0,889,1.0,755,1,-0.2258
168,0,556,0.25,807,1,-0.2254
169,0,556,0.5,807,1,-0.2254
170,0,556,0.75,807,1,-0.2254
171,0,556,1.0,807,1,-0.2254
172,0,3192,0.25,1484,1,0.276
173,0,3192,0.5,1484,1,0.276
174,0,3192,0.75,1484,1,0.276
175,0,3192,1.0,1484,1,0.276
176,0,3197,0.25,1290,1,0.1572
177,0,3197,0.5,1290,1,0.1572
178,0,3197,0.75,1290,1,0.1572
179,0,3197,1.0,1290,1,0.1572
180,0,4480,0.25,1239,1,0.0062
181,0,4480,0.5,1239,1,0.0062
182,0,4480,0.75,1239,1,0.0062
183,0,4480,1.0,1239,1,0.0062
184,0,4826,0.25,900,1,-0.1756
185,0,4826,0.5,900,1,-0.1756
186,0,4826,0.75,900,1,-0.1756
187,0,4826,1.0,900,1,-0.1756
188,0,1428,0.25,798,1,-0.1356
189,0,1428,0.5,798,1,-0.1356
190,0,1428,0.75,798,1,-0.1356
191,0,1428,1.0,798,1,-0.1356
192,0,2109,0.25,436,1,-0.4264
193,0,2109,0.5,436,1,-0.4264
194,0,2109,0.75,436,1,-0.4264
195,0,2109,1.0,436,1,-0.4264
196,0,3764,0.25,1367,1,0.1146
197,0,3764,0.5,1367,1,0.1146
198,0,3764,0.75,1367,1,0.1146
199,0,3764,1.0,1367,1,0.1146
200,0,4003,0.25,1140,1,0.1136
201,0,4003,0.5,1140,1,0.1136
202,0,4003,0.75,1140,1,0.1136
203,0,4003,1.0,1140,1,0.1136
204,0,4481,0.25,968,1,-0.0128
205,0,4481,0.5,968,1,-0.0128
206,0,4481,0.75,968,1,-0.0128
207,0,4481,1.0,968,1,-0.0128
