resistance,metric,max_level,avg_level
0.25,215.63364,1.00004,-0.003963879999999987
0.5,215.6336,1.0,-0.003964679999999989
0.75,215.6336,1.0,-0.003964679999999989
1.0,215.6336,1.0,-0.003964679999999989
