resistance,node,metric,max_level,avg_level
0.25,2,4.14,0.92,-0.997948
0.25,17,4.82,0.92,-0.997516
0.25,23,4.08,0.88,-0.9981919999999999
0.25,28,4.52,0.92,-0.9979199999999999
0.25,30,4.12,0.82,-0.9980560000000002
0.25,33,4.16,0.92,-0.9979119999999998
0.25,37,3.92,0.94,-0.9979119999999998
0.25,43,4.52,0.9,-0.997888
0.25,52,3.72,0.92,-0.9982000000000003
0.25,56,4.44,0.96,-0.9978719999999996
0.25,59,4.3,0.92,-0.9977799999999998
0.25,74,3.96,0.82,-0.9981280000000001
0.25,81,3.98,0.96,-0.9978360000000001
0.25,87,3.98,0.8,-0.9980120000000001
0.25,94,4.6,0.86,-0.9978079999999998
0.25,103,4.24,0.9,-0.9980639999999997
0.25,106,4.32,0.92,-0.9978400000000001
0.25,111,4.1,0.9,-0.9979160000000001
0.25,124,4.28,0.9,-0.997712
0.25,125,4.18,0.82,-0.997828
0.25,136,3.9,0.8,-0.9982359999999999
0.25,142,4.26,0.7,-0.997916
0.25,144,4.36,0.96,-0.9978399999999997
0.25,154,4.42,0.84,-0.9978039999999999
0.25,173,4.2,0.86,-0.9978959999999998
0.25,175,3.84,0.76,-0.9981439999999998
0.25,185,4.4,0.9,-0.997784
0.25,187,4.4,0.94,-0.997792
0.25,198,3.88,0.92,-0.9980239999999998
0.25,200,4.18,0.88,-0.9979720000000003
0.25,207,4.28,0.92,-0.9978560000000001
0.25,210,4.06,0.94,-0.9979960000000002
0.25,227,4.2,0.86,-0.998048
0.25,231,4.28,0.92,-0.9978560000000001
0.25,236,4.32,0.88,-0.998032
0.25,238,4.26,0.8,-0.9979160000000001
0.25,240,3.98,0.88,-0.9981079999999998
0.25,247,4.68,0.94,-0.9978720000000004
0.25,250,4.18,0.82,-0.9981319999999999
0.25,253,4.56,0.92,-0.997648
0.25,257,4.42,0.84,-0.9977559999999995
0.25,259,4.16,0.88,-0.9977119999999999
0.25,261,4.34,0.92,-0.99786
0.25,269,4.08,0.88,-0.997912
0.25,281,4.0,0.9,-0.9980480000000002
0.25,283,4.34,0.9,-0.9977559999999999
0.25,286,4.26,0.92,-0.997948
0.25,294,4.3,0.84,-0.9978599999999999
0.25,296,4.44,0.86,-0.9980239999999999
0.25,315,4.3,0.88,-0.9978840000000001
0.25,317,4.02,0.84,-0.9981720000000002
0.25,318,4.04,0.84,-0.9980800000000003
0.25,322,4.7,0.94,-0.9976760000000001
0.25,326,3.96,0.84,-0.9980639999999998
0.25,329,4.0,0.78,-0.9981279999999998
0.25,339,4.34,0.84,-0.998036
0.25,364,3.88,0.88,-0.99804
0.25,367,3.94,0.86,-0.997868
0.25,370,4.32,0.84,-0.9980479999999998
0.25,373,3.94,0.8,-0.997884
0.25,389,4.42,0.92,-0.9978759999999999
0.25,397,4.72,0.86,-0.9976399999999996
0.25,398,4.52,0.9,-0.9976559999999999
0.25,401,4.04,0.88,-0.9978800000000001
0.25,404,3.86,0.84,-0.9981479999999998
0.25,407,4.06,0.76,-0.9980759999999997
0.25,409,4.6,0.96,-0.9977759999999999
0.25,412,4.04,0.82,-0.9980799999999997
0.25,415,4.52,0.86,-0.9977840000000002
0.25,416,4.46,0.92,-0.9978839999999998
0.25,425,4.22,0.92,-0.9979
0.25,430,3.94,0.82,-0.9980199999999999
0.25,444,4.42,0.78,-0.9981399999999997
0.25,446,3.86,0.88,-0.9979639999999996
0.25,451,3.92,0.9,-0.9979039999999999
0.25,456,3.98,0.78,-0.9981080000000001
0.25,459,3.94,0.86,-0.9980199999999998
0.25,467,4.68,0.94,-0.9978319999999996
0.25,473,3.94,0.84,-0.9979319999999997
0.25,475,4.64,0.92,-0.9978159999999999
0.25,477,4.6,0.9,-0.9976720000000001
0.25,490,4.04,0.84,-0.9980559999999999
0.25,492,4.66,0.88,-0.9976280000000002
0.25,494,4.26,0.92,-0.9977399999999994
0.25,497,4.48,0.86,-0.9977919999999998
0.25,502,3.78,0.84,-0.9982280000000001
0.25,513,4.2,0.84,-0.9978400000000002
0.25,538,4.34,0.98,-0.9979319999999998
0.25,541,4.48,0.92,-0.997744
0.25,542,4.22,0.88,-0.997932
0.25,546,4.64,0.9,-0.9977199999999999
0.25,550,4.32,0.92,-0.997744
0.25,552,4.08,0.92,-0.9978480000000002
0.25,554,4.74,0.94,-0.9975879999999998
0.25,556,3.66,0.88,-0.9981479999999996
0.25,560,3.82,0.88,-0.9981320000000002
0.25,565,4.32,0.86,-0.9978239999999998
0.25,577,4.16,0.84,-0.9981360000000001
0.25,578,4.2,0.9,-0.9980160000000002
0.25,581,4.0,0.76,-0.9980560000000002
0.25,586,4.36,0.88,-0.9979760000000002
0.25,588,3.74,0.8,-0.9981639999999998
0.25,590,4.36,0.9,-0.9978560000000002
0.25,593,4.0,0.92,-0.9980560000000004
0.25,605,4.42,0.88,-0.9978279999999998
0.25,606,4.14,0.86,-0.9981
0.25,610,4.28,0.88,-0.9978480000000002
0.25,612,3.94,0.88,-0.9978999999999997
0.25,615,4.46,0.92,-0.9979480000000003
0.25,617,3.9,0.92,-0.9978439999999997
0.25,618,4.06,0.78,-0.9980759999999997
0.25,620,3.86,0.82,-0.9979560000000004
0.25,621,4.16,0.94,-0.9979679999999996
0.25,622,3.72,0.82,-0.9981359999999999
0.25,623,4.66,0.96,-0.997636
0.25,630,3.44,0.8,-0.9982879999999998
0.25,633,3.96,0.9,-0.997752
0.25,635,4.22,0.82,-0.9979560000000001
0.25,642,4.38,0.9,-0.9979079999999998
0.25,643,4.04,0.84,-0.9980559999999998
0.25,644,3.74,0.82,-0.9981559999999997
0.25,647,3.82,0.9,-0.9980199999999998
0.25,649,4.4,0.9,-0.9979520000000001
0.25,652,4.46,0.96,-0.997796
0.25,653,4.28,0.92,-0.9979119999999999
0.25,657,4.36,0.8,-0.997792
0.25,662,4.16,0.84,-0.9980239999999999
0.25,666,4.46,0.96,-0.9978680000000001
0.25,673,4.48,0.76,-0.9979840000000002
0.25,676,4.26,0.9,-0.9978200000000003
0.25,677,4.34,0.92,-0.997876
0.25,682,4.26,0.82,-0.9978920000000001
0.25,684,4.26,0.84,-0.99806
0.25,701,3.96,0.86,-0.9981840000000003
0.25,702,4.66,0.88,-0.997868
0.25,703,4.26,0.98,-0.9977479999999994
0.25,705,4.36,0.84,-0.997952
0.25,728,3.96,0.78,-0.9979920000000001
0.25,735,4.38,0.9,-0.9976759999999996
0.25,737,4.36,0.82,-0.9978799999999997
0.25,745,3.98,0.78,-0.9981800000000003
0.25,748,4.56,0.92,-0.9977199999999997
0.25,761,3.88,0.82,-0.9980159999999997
0.25,762,4.06,0.84,-0.9980840000000001
0.25,776,3.92,0.86,-0.9981599999999999
0.25,778,4.2,0.86,-0.9979200000000003
0.25,785,4.36,0.86,-0.9980239999999998
0.25,792,3.74,0.76,-0.998156
0.25,794,3.9,0.84,-0.9980039999999997
0.25,795,4.44,0.88,-0.997864
0.25,796,4.38,0.9,-0.9979079999999999
0.25,813,4.3,0.84,-0.9979720000000004
0.25,817,4.3,0.9,-0.9979160000000001
0.25,819,4.0,0.82,-0.9980720000000002
0.25,820,4.34,0.84,-0.9980120000000001
0.25,822,4.04,0.92,-0.9978639999999998
0.25,825,4.2,0.9,-0.9980640000000001
0.25,829,3.98,0.86,-0.9979079999999998
0.25,831,3.9,0.86,-0.9981400000000002
0.25,835,4.48,0.9,-0.9977920000000003
0.25,840,4.14,0.9,-0.9980279999999998
0.25,851,4.26,0.94,-0.997804
0.25,854,4.54,0.9,-0.9978360000000001
0.25,857,4.06,0.84,-0.9980440000000002
0.25,868,4.02,0.8,-0.9980519999999999
0.25,870,4.06,0.9,-0.9978599999999999
0.25,880,3.9,0.86,-0.9980040000000001
0.25,883,4.14,0.82,-0.9978520000000004
0.25,888,3.94,0.88,-0.9981239999999997
0.25,896,4.22,0.86,-0.997948
0.25,901,4.34,0.86,-0.9977319999999992
0.25,902,4.28,0.86,-0.997904
0.25,910,4.14,0.8,-0.997916
0.25,911,4.18,0.84,-0.997876
0.25,914,4.18,0.8,-0.9978840000000001
0.25,916,4.02,0.78,-0.998316
0.25,922,4.5,0.9,-0.9976119999999996
0.25,923,4.34,0.86,-0.9980199999999999
0.25,928,3.98,0.82,-0.9980600000000002
0.25,932,4.24,0.94,-0.997992
0.25,936,4.26,0.8,-0.9980280000000001
0.25,946,3.86,0.82,-0.9981000000000002
0.25,954,4.14,0.8,-0.997988
0.25,969,4.12,0.94,-0.9976720000000001
0.25,970,4.3,0.88,-0.9978039999999999
0.25,971,4.56,0.88,-0.9978239999999995
0.25,972,3.84,0.76,-0.9981280000000003
0.25,974,4.6,0.92,-0.9977280000000001
0.25,998,4.28,0.9,-0.997824
0.25,1000,3.94,0.82,-0.9979799999999998
0.25,1002,3.9,0.9,-0.998028
0.25,1007,4.3,0.84,-0.9980599999999997
0.25,1008,4.24,0.94,-0.9981039999999998
0.25,1013,4.26,0.9,-0.9979319999999997
0.25,1014,4.3,0.86,-0.9979960000000001
0.25,1018,3.84,0.86,-0.9981039999999999
0.25,1020,4.34,0.9,-0.9979239999999998
0.25,1022,3.7,0.8,-0.99806
0.25,1028,4.14,0.88,-0.9979880000000001
0.25,1035,3.9,0.84,-0.9981399999999999
0.25,1040,4.52,0.88,-0.9977759999999997
0.25,1041,4.5,0.92,-0.9978920000000001
0.25,1045,3.82,0.76,-0.9982440000000004
0.25,1058,4.68,0.92,-0.9976799999999999
0.25,1068,4.4,0.96,-0.9976000000000008
0.25,1074,4.34,0.88,-0.9980119999999997
0.25,1082,4.26,0.94,-0.9978119999999997
0.25,1091,3.68,0.76,-0.9981600000000002
0.25,1094,4.4,0.86,-0.9976559999999999
0.25,1101,4.3,0.86,-0.99806
0.25,1106,4.0,0.88,-0.9979520000000002
0.25,1115,4.2,0.8,-0.99796
0.25,1116,4.2,0.86,-0.9980399999999997
0.25,1136,4.16,0.84,-0.9978880000000001
0.25,1140,4.22,0.88,-0.9979239999999997
0.25,1166,4.42,0.84,-0.9978440000000001
0.25,1167,4.2,0.84,-0.9980399999999999
0.25,1172,4.12,0.9,-0.9983040000000004
0.25,1177,4.18,0.82,-0.9979399999999998
0.25,1178,4.28,0.94,-0.9979359999999999
0.25,1181,3.72,0.8,-0.9982879999999994
0.25,1189,3.86,0.82,-0.9981479999999998
0.25,1190,4.12,0.84,-0.9979919999999999
0.25,1197,4.2,0.82,-0.9981360000000009
0.25,1201,4.5,0.78,-0.9981479999999999
0.25,1205,4.6,0.82,-0.9978399999999997
0.25,1208,4.1,0.78,-0.9981320000000001
0.25,1213,4.1,0.88,-0.998076
0.25,1214,4.14,0.9,-0.99798
0.25,1236,4.26,0.9,-0.997996
0.25,1239,4.16,0.92,-0.9978639999999999
0.25,1241,4.42,0.88,-0.9978919999999999
0.25,1244,4.18,0.78,-0.9978919999999999
0.25,1249,4.12,0.96,-0.9980880000000001
0.25,1274,4.46,0.9,-0.99786
0.25,1279,4.06,0.8,-0.9981800000000003
0.25,1286,4.28,0.86,-0.9980879999999995
0.25,1295,4.04,0.88,-0.9981440000000003
0.25,1305,4.5,0.94,-0.997788
0.25,1314,4.54,0.92,-0.9977400000000002
0.25,1317,4.44,0.82,-0.9978480000000001
0.25,1325,3.82,0.92,-0.9981239999999998
0.25,1328,4.1,0.8,-0.9981239999999996
0.25,1335,4.12,0.9,-0.9978560000000004
0.25,1339,4.26,0.92,-0.9978999999999999
0.25,1345,4.0,0.92,-0.99792
0.25,1346,4.28,0.88,-0.9977199999999997
0.25,1352,4.52,0.94,-0.9979119999999998
0.25,1355,4.58,0.84,-0.997916
0.25,1360,4.28,0.82,-0.9978639999999999
0.25,1366,4.24,0.82,-0.998048
0.25,1378,3.86,0.86,-0.99806
0.25,1393,4.1,0.78,-0.998156
0.25,1402,4.14,0.94,-0.9978840000000001
0.25,1407,3.94,0.8,-0.9979959999999999
0.25,1410,4.3,0.96,-0.9977639999999998
0.25,1412,4.4,0.9,-0.9976879999999997
0.25,1413,3.94,0.8,-0.9981800000000001
0.25,1414,4.04,0.86,-0.9981199999999998
0.25,1417,4.36,0.82,-0.9980799999999997
0.25,1429,4.56,0.9,-0.9978480000000002
0.25,1432,4.58,0.94,-0.997828
0.25,1435,4.2,0.9,-0.9979759999999999
0.25,1436,4.64,0.9,-0.9977120000000003
0.25,1444,4.36,0.86,-0.9978239999999997
0.25,1466,4.64,0.84,-0.997792
0.25,1479,3.94,0.86,-0.9980360000000001
0.25,1492,4.32,0.9,-0.9977119999999999
0.25,1494,4.16,0.86,-0.9980319999999998
0.25,1504,4.68,0.9,-0.997808
0.25,1506,4.28,0.86,-0.997728
0.25,1516,4.16,0.9,-0.9979839999999999
0.25,1520,4.2,0.96,-0.997832
0.25,1522,3.84,0.86,-0.9979760000000002
0.25,1524,3.86,0.8,-0.9981399999999998
0.25,1529,4.44,0.92,-0.9978159999999998
0.25,1532,4.76,0.92,-0.9976160000000002
0.25,1538,4.0,0.88,-0.99792
0.25,1542,3.94,0.84,-0.9980279999999996
0.25,1559,4.24,0.84,-0.9979200000000003
0.25,1571,4.12,0.8,-0.9980880000000001
0.25,1574,4.24,0.94,-0.997976
0.25,1579,4.36,0.82,-0.9980719999999996
0.25,1581,4.38,0.92,-0.9978839999999997
0.25,1582,4.56,0.92,-0.9976
0.25,1601,4.14,0.82,-0.9981319999999999
0.25,1602,4.32,0.92,-0.9979440000000003
0.25,1605,4.24,0.88,-0.9978239999999999
0.25,1607,4.4,0.88,-0.9979599999999996
0.25,1613,4.08,0.86,-0.9979920000000003
0.25,1648,4.42,0.9,-0.9977560000000001
0.25,1653,4.62,0.84,-0.9978919999999999
0.25,1658,4.58,0.98,-0.9978439999999997
0.25,1666,4.04,0.9,-0.9980239999999998
0.25,1668,4.62,0.94,-0.9976039999999999
0.25,1670,4.44,0.88,-0.9979520000000001
0.25,1675,4.18,0.9,-0.9979640000000002
0.25,1679,4.38,0.9,-0.9978600000000002
0.25,1690,4.52,0.88,-0.9977679999999998
0.25,1694,4.62,0.92,-0.997652
0.25,1714,4.36,0.86,-0.9980479999999994
0.25,1716,4.2,0.86,-0.9978399999999996
0.25,1719,4.6,0.9,-0.9977919999999999
0.25,1721,3.92,0.92,-0.9979519999999995
0.25,1723,4.28,0.94,-0.9977039999999997
0.25,1726,4.32,0.92,-0.9977600000000001
0.25,1727,4.58,0.82,-0.997788
0.25,1728,4.24,0.86,-0.99796
0.25,1735,4.36,0.78,-0.998104
0.25,1737,4.18,0.88,-0.9978919999999998
0.25,1746,4.24,0.92,-0.9981200000000007
0.25,1756,3.7,0.88,-0.998236
0.25,1760,3.62,0.84,-0.9983480000000001
0.25,1765,3.92,0.84,-0.998072
0.25,1767,3.98,0.9,-0.9981640000000003
0.25,1768,4.38,0.88,-0.9978120000000003
0.25,1782,4.06,0.8,-0.9978679999999999
0.25,1786,3.94,0.88,-0.9981399999999999
0.25,1788,3.9,0.86,-0.9982599999999999
0.25,1798,4.08,0.88,-0.9978239999999999
0.25,1800,4.38,0.9,-0.9977880000000002
0.25,1801,3.8,0.82,-0.9983119999999999
0.25,1803,3.98,0.82,-0.9979239999999997
0.25,1806,4.2,0.92,-0.9980560000000002
0.25,1815,4.12,0.94,-0.997952
0.25,1819,4.48,0.84,-0.9978080000000001
0.25,1824,4.66,0.88,-0.9976519999999998
0.25,1826,4.44,0.9,-0.9977199999999999
0.25,1827,3.88,0.92,-0.9980880000000001
0.25,1828,4.48,0.88,-0.9976480000000001
0.25,1836,4.52,0.92,-0.9976960000000004
0.25,1838,3.92,0.84,-0.998048
0.25,1840,4.6,0.92,-0.9977520000000001
0.25,1841,4.0,0.92,-0.9979119999999998
0.25,1850,4.46,0.94,-0.9976039999999997
0.25,1851,4.48,0.94,-0.9979440000000003
0.25,1855,4.12,0.86,-0.9977919999999996
0.25,1863,4.36,0.96,-0.9975839999999999
0.25,1866,4.64,0.96,-0.9977599999999996
0.25,1869,3.98,0.84,-0.9982199999999999
0.25,1877,4.36,0.84,-0.9979679999999999
0.25,1881,3.96,0.86,-0.998144
0.25,1890,3.78,0.84,-0.9981159999999992
0.25,1892,4.06,0.92,-0.9979399999999997
0.25,1903,4.38,0.94,-0.9976599999999997
0.25,1905,3.86,0.84,-0.9980920000000001
0.25,1908,4.52,0.88,-0.9979039999999999
0.25,1919,4.04,0.86,-0.9979919999999997
0.25,1926,4.18,0.94,-0.9978359999999998
0.25,1932,3.92,0.84,-0.9979920000000003
0.25,1935,4.04,0.92,-0.9978800000000004
0.25,1940,3.86,0.84,-0.9980279999999999
0.25,1952,4.18,0.86,-0.9980840000000007
0.25,1958,3.94,0.78,-0.9979880000000001
0.25,1962,3.96,0.86,-0.9981919999999999
0.25,1966,4.26,0.86,-0.99798
0.25,1971,4.4,0.96,-0.9976879999999998
0.25,1974,4.24,0.88,-0.9977759999999998
0.25,1985,4.26,0.88,-0.99786
0.25,1988,4.46,0.92,-0.9979720000000001
0.25,1991,4.38,0.96,-0.9978919999999998
0.25,2000,3.96,0.82,-0.9980079999999998
0.25,2002,3.88,0.8,-0.998152
0.25,2005,4.3,0.82,-0.9979160000000004
0.25,2007,3.62,0.82,-0.9982279999999999
0.25,2016,4.3,0.86,-0.9979239999999998
0.25,2019,4.18,0.88,-0.997916
0.25,2036,4.26,0.94,-0.9979560000000002
0.25,2037,4.24,0.86,-0.9978720000000003
0.25,2040,4.04,0.8,-0.9980240000000002
0.25,2042,4.0,0.84,-0.997912
0.25,2044,3.9,0.86,-0.9981
0.25,2051,3.9,0.9,-0.9980280000000001
0.25,2054,4.02,0.86,-0.9980920000000001
0.25,2060,4.14,0.86,-0.9979719999999999
0.25,2062,3.98,0.84,-0.9978920000000001
0.25,2066,4.16,0.9,-0.9978960000000001
0.25,2070,3.88,0.8,-0.9979200000000005
0.25,2076,3.84,0.86,-0.9978560000000004
0.25,2080,4.3,0.88,-0.9980280000000001
0.25,2086,4.16,0.94,-0.9980720000000001
0.25,2087,3.78,0.82,-0.9980439999999998
0.25,2099,3.94,0.86,-0.9980760000000002
0.25,2105,4.66,0.92,-0.9979319999999998
0.25,2118,4.12,0.8,-0.9981359999999991
0.25,2128,4.1,0.9,-0.997956
0.25,2132,4.16,0.94,-0.9978559999999997
0.25,2140,4.06,0.88,-0.997908
0.25,2141,4.24,0.94,-0.9979359999999998
