,realization,node,resistance,metric,max_level,avg_level
0,0,4163,0.25,5000,2,0.2466
1,0,4163,0.5,4819,11,1.0732
2,0,4163,0.75,3774,1,0.2452
3,0,4163,1.0,3774,1,0.2452
4,0,4271,0.25,5000,1,0.1612
5,0,4271,0.5,4794,8,0.5664
6,0,4271,0.75,4194,1,0.1612
7,0,4271,1.0,4194,1,0.1612
8,0,4925,0.25,5000,2,0.2324
9,0,4925,0.5,4819,10,0.9322
10,0,4925,0.75,3846,1,0.2308
11,0,4925,1.0,3846,1,0.2308
12,0,2808,0.25,5000,2,0.3332
13,0,2808,0.5,4819,12,1.582
14,0,2808,0.75,3428,1,0.3144
15,0,2808,1.0,3428,1,0.3144
16,0,3556,0.25,5000,2,0.2618
17,0,3556,0.5,4785,15,1.3054
18,0,3556,0.75,3718,1,0.2564
19,0,3556,1.0,3718,1,0.2564
20,0,39,0.25,5000,1,0.0054
21,0,39,0.5,4974,2,0.007
22,0,39,0.75,4974,2,0.007
23,0,39,1.0,4973,1,0.0054
24,0,4691,0.25,5000,1,0.136
25,0,4691,0.5,4821,9,0.4498
26,0,4691,0.75,4320,1,0.136
27,0,4691,1.0,4320,1,0.136
28,0,365,0.25,5000,1,0.0006
29,0,365,0.5,4997,1,0.0006
30,0,365,0.75,4997,1,0.0006
31,0,365,1.0,4997,1,0.0006
32,0,4223,0.25,5000,1,0.133
33,0,4223,0.5,4785,12,0.613
34,0,4223,0.75,4335,1,0.133
35,0,4223,1.0,4335,1,0.133
36,0,1616,0.25,5000,2,0.1942
37,0,1616,0.5,4785,13,0.8328
38,0,1616,0.75,4030,1,0.194
39,0,1616,1.0,4030,1,0.194
40,0,211,0.25,5000,2,0.3158
41,0,211,0.5,4755,12,1.5702
42,0,211,0.75,3494,1,0.3012
43,0,211,1.0,3494,1,0.3012
44,0,2005,0.25,5000,2,0.446
45,0,2005,0.5,4775,19,4.0098
46,0,2005,0.75,3017,1,0.3966
47,0,2005,1.0,3017,1,0.3966
48,0,503,0.25,5000,1,0.1274
49,0,503,0.5,4815,10,0.5276
50,0,503,0.75,4363,1,0.1274
51,0,503,1.0,4363,1,0.1274
52,0,3083,0.25,5000,1,0.1678
53,0,3083,0.5,4821,11,0.638
54,0,3083,0.75,4161,1,0.1678
55,0,3083,1.0,4161,1,0.1678
56,0,2551,0.25,5000,2,0.5464
57,0,2551,0.5,2784,8,3.561
58,0,2551,0.75,2697,1,0.4606
59,0,2551,1.0,2697,1,0.4606
60,0,3987,0.25,5000,2,0.6444
61,0,3987,0.5,2487,1,0.5026
62,0,3987,0.75,2487,1,0.5026
63,0,3987,1.0,2487,1,0.5026
64,0,721,0.25,5000,2,0.3602
65,0,721,0.5,4817,15,1.926
66,0,721,0.75,3329,1,0.3342
67,0,721,1.0,3329,1,0.3342
68,0,454,0.25,5000,2,0.508
69,0,454,0.5,3012,14,5.6972
70,0,454,0.75,2801,1,0.4398
71,0,454,1.0,2801,1,0.4398
72,0,1477,0.25,5000,2,0.5298
73,0,1477,0.5,2880,12,5.1296
74,0,1477,0.75,2728,1,0.4544
75,0,1477,1.0,2728,1,0.4544
76,0,1548,0.25,5000,1,0.1378
77,0,1548,0.5,4815,10,0.5322
78,0,1548,0.75,4311,1,0.1378
79,0,1548,1.0,4311,1,0.1378
80,0,1484,0.25,5000,2,0.2486
81,0,1484,0.5,4785,14,1.1276
82,0,1484,0.75,3787,1,0.2426
83,0,1484,1.0,3787,1,0.2426
84,0,1939,0.25,5000,2,0.383
85,0,1939,0.5,4819,14,2.1668
86,0,1939,0.75,3254,1,0.3492
87,0,1939,1.0,3254,1,0.3492
88,0,1555,0.25,5000,2,0.2148
89,0,1555,0.5,4819,10,0.8734
90,0,1555,0.75,3927,1,0.2146
91,0,1555,1.0,3927,1,0.2146
92,0,2354,0.25,5000,1,0.1338
93,0,2354,0.5,4822,9,0.443
94,0,2354,0.75,4331,1,0.1338
95,0,2354,1.0,4331,1,0.1338
96,0,832,0.25,5000,1,0.03
97,0,832,0.5,4891,6,0.1266
98,0,832,0.75,4850,1,0.03
99,0,832,1.0,4850,1,0.03
100,0,1290,0.25,5000,1,0.0476
101,0,1290,0.5,4839,6,0.2008
102,0,1290,0.75,4762,1,0.0476
103,0,1290,1.0,4762,1,0.0476
104,0,4392,0.25,5000,1,0.0224
105,0,4392,0.5,4907,5,0.0978
106,0,4392,0.75,4888,1,0.0224
107,0,4392,1.0,4888,1,0.0224
108,0,352,0.25,5000,2,0.4114
109,0,352,0.5,4763,16,2.9914
110,0,352,0.75,3125,1,0.375
111,0,352,1.0,3125,1,0.375
112,0,3241,0.25,5000,1,0.042
113,0,3241,0.5,4864,6,0.1676
114,0,3241,0.75,4790,1,0.042
115,0,3241,1.0,4790,1,0.042
116,0,3859,0.25,5000,1,0.08
117,0,3859,0.5,4794,6,0.2934
118,0,3859,0.75,4600,1,0.08
119,0,3859,1.0,4600,1,0.08
120,0,4615,0.25,5000,2,0.4986
121,0,4615,0.5,4766,28,7.0806
122,0,4615,0.75,2885,1,0.423
123,0,4615,1.0,2885,1,0.423
124,0,351,0.25,5000,1,0.1806
125,0,351,0.5,4785,13,0.816
126,0,351,0.75,4097,1,0.1806
127,0,351,1.0,4097,1,0.1806
128,0,3567,0.25,5000,2,0.605
129,0,3567,0.5,2566,1,0.4868
130,0,3567,0.75,2566,1,0.4868
131,0,3567,1.0,2566,1,0.4868
132,0,779,0.25,5000,2,0.2178
133,0,779,0.5,4778,9,0.8022
