resistance,node,metric,max_level,avg_level
0.25,90,10000.0,1.54,0.231778
0.25,118,10000.0,1.58,0.28396200000000005
0.25,289,10000.0,1.72,0.29289200000000004
0.25,380,10000.0,1.64,0.276076
0.25,566,10000.0,1.58,0.24325200000000013
0.25,640,10000.0,1.7,0.27954599999999996
0.25,702,10000.0,1.72,0.29657799999999995
0.25,882,10000.0,1.7,0.284946
0.25,1051,10000.0,1.68,0.29858400000000007
0.25,1156,10000.0,1.72,0.27299800000000013
0.25,1230,10000.0,1.68,0.312856
0.25,1269,10000.0,1.64,0.2702359999999999
0.25,1327,10000.0,1.78,0.293418
0.25,1796,10000.0,1.54,0.23780800000000002
0.25,1816,10000.0,1.58,0.21239799999999998
0.25,1994,10000.0,1.74,0.29550400000000004
0.25,2061,10000.0,1.72,0.284202
0.25,2264,10000.0,1.64,0.249272
0.25,2315,10000.0,1.66,0.2972579999999999
0.25,2592,10000.0,1.64,0.2566399999999999
0.25,2666,10000.0,1.64,0.26175
0.25,2722,10000.0,1.64,0.26382999999999995
0.25,2738,10000.0,1.64,0.27287999999999996
0.25,2751,10000.0,1.7,0.256262
0.25,2786,10000.0,1.76,0.310854
0.25,2829,10000.0,1.6,0.270268
0.25,2886,10000.0,1.74,0.31497
0.25,2890,10000.0,1.64,0.2648539999999999
0.25,2892,10000.0,1.8,0.297648
0.25,2958,10000.0,1.72,0.29472400000000004
0.25,3071,10000.0,1.64,0.2656
0.25,3149,10000.0,1.64,0.25359
0.25,3242,10000.0,1.66,0.28203799999999996
0.25,3370,10000.0,1.58,0.25710599999999995
0.25,3550,10000.0,1.72,0.282366
0.25,3578,10000.0,1.62,0.261428
0.25,3663,10000.0,1.68,0.29412599999999994
0.25,3957,10000.0,1.78,0.293038
0.25,3966,10000.0,1.62,0.24870999999999996
0.25,4061,10000.0,1.56,0.24350199999999997
0.25,4331,10000.0,1.66,0.292442
0.25,4354,10000.0,1.7,0.310544
0.25,4403,10000.0,1.6,0.245118
0.25,4778,10000.0,1.68,0.28669000000000006
0.25,4836,10000.0,1.52,0.22469799999999998
0.25,4897,10000.0,1.6,0.27197800000000005
0.25,5018,10000.0,1.86,0.36084399999999994
0.25,5097,10000.0,1.7,0.31272400000000017
0.25,5216,10000.0,1.58,0.24781599999999998
0.25,5256,10000.0,1.72,0.29272400000000004
0.25,5284,10000.0,1.68,0.2689540000000001
0.25,5423,10000.0,1.68,0.2983060000000001
0.25,5683,10000.0,1.68,0.29372400000000004
