resistance,metric,max_level,avg_level
0.25,4.239,0.8752,-0.9989591399999914
0.5,4.239,0.8752,-0.9989591399999914
0.75,4.239,0.8752,-0.9989591399999914
1.0,4.239,0.8752,-0.9989591399999914
