resistance,node,metric,max_level,avg_level
0.25,130,51.12,1.0,-0.970492
0.25,446,49.3,1.0,-0.9725779999999996
0.25,503,49.94,1.0,-0.9717420000000001
0.25,547,51.18,1.0,-0.9722539999999998
0.25,698,53.14,1.0,-0.970918
0.25,785,50.96,1.0,-0.9704920000000001
0.25,1083,48.36,1.0,-0.9713120000000001
0.25,1285,47.74,1.0,-0.9726259999999999
0.25,1289,49.76,1.0,-0.970756
0.25,1365,47.74,1.0,-0.9727579999999999
0.25,1415,48.44,1.0,-0.970852
0.25,1477,50.32,1.0,-0.9717760000000005
0.25,1674,50.7,1.0,-0.9709779999999999
0.25,1776,48.74,1.0,-0.971186
0.25,1891,49.68,1.0,-0.9710599999999997
0.25,2188,50.06,1.0,-0.9705819999999998
0.25,2338,50.84,1.0,-0.9711719999999999
0.25,2389,50.34,1.0,-0.9702019999999999
0.25,2408,49.92,1.0,-0.9714839999999999
0.25,2420,47.2,1.0,-0.9725120000000004
0.25,2548,50.56,1.0,-0.970724
0.25,2555,50.2,1.0,-0.970556
0.25,2631,51.04,1.0,-0.9701560000000002
0.25,2640,50.44,1.0,-0.9716159999999999
0.25,2767,50.58,1.0,-0.9715859999999998
0.25,2980,50.26,1.0,-0.9715300000000002
0.25,3225,47.92,1.0,-0.971528
0.25,3432,50.38,1.0,-0.970838
0.25,3517,50.24,1.0,-0.9704920000000005
0.25,3715,49.46,1.0,-0.9716020000000002
0.25,3786,48.74,1.0,-0.9717179999999997
0.25,3859,49.06,1.0,-0.9706259999999999
0.25,4067,47.72,1.0,-0.9715560000000001
0.25,4106,50.06,1.0,-0.9719539999999999
0.25,4166,49.0,1.0,-0.9714880000000001
0.25,4199,48.14,1.0,-0.9710659999999999
0.25,4237,48.94,1.0,-0.9715700000000002
0.25,4572,48.28,1.0,-0.9711320000000004
0.25,4697,50.26,1.0,-0.9710699999999999
0.25,4803,47.54,1.0,-0.9721059999999997
0.25,4847,50.46,1.0,-0.9706980000000004
0.25,4897,49.82,1.0,-0.9712460000000004
0.25,4927,49.14,1.0,-0.9713540000000002
0.25,4965,49.36,1.0,-0.9709159999999997
0.25,4977,50.82,1.0,-0.9702339999999998
0.25,5004,48.76,1.0,-0.9707399999999997
0.25,5221,49.48,1.0,-0.9713960000000001
0.25,5242,50.5,1.0,-0.9703700000000002
0.25,5265,50.54,1.0,-0.971342
0.25,5402,50.3,1.0,-0.9715940000000002
0.25,5777,50.84,1.0,-0.9702479999999999
0.25,5816,51.34,1.0,-0.970786
0.25,5862,52.58,1.0,-0.9702060000000003
0.25,5999,47.78,1.0,-0.9720380000000002
0.25,6119,46.88,1.0,-0.9717999999999999
0.25,6167,49.24,1.0,-0.9718960000000001
0.25,6194,50.22,1.0,-0.9716140000000002
0.25,6251,50.08,1.0,-0.9712719999999995
0.25,6380,48.62,1.0,-0.9716220000000001
0.25,6491,50.92,1.0,-0.9709759999999998
0.25,6514,47.08,1.0,-0.9721639999999997
0.25,6525,50.1,1.0,-0.9710619999999998
0.25,6684,49.94,1.0,-0.9711820000000002
0.25,6754,48.86,1.0,-0.9718780000000001
0.25,6761,48.28,1.0,-0.9722359999999999
0.25,6866,48.92,1.0,-0.9719199999999998
0.25,7093,50.38,1.0,-0.9705619999999997
0.25,7334,49.94,1.0,-0.9711940000000004
0.25,7347,50.64,1.0,-0.9716359999999998
0.25,7451,50.56,1.0,-0.9711159999999996
0.25,7468,47.2,1.0,-0.9722679999999998
0.25,7599,50.38,1.0,-0.9707339999999999
0.25,7679,50.4,1.0,-0.9707760000000002
0.25,7716,49.54,1.0,-0.9719699999999999
0.25,7718,48.4,1.0,-0.971824
0.25,7864,50.2,1.0,-0.9714760000000001
0.25,7877,48.6,1.0,-0.9711799999999997
0.25,7963,49.14,1.0,-0.9714460000000001
0.25,7974,51.06,1.0,-0.9701419999999998
0.25,8047,49.76,1.0,-0.9708480000000002
0.25,8080,49.14,1.0,-0.9718460000000002
0.25,8282,48.0,1.0,-0.9717960000000001
0.25,8317,48.34,1.0,-0.9718379999999998
0.25,8387,48.8,1.0,-0.9719519999999997
0.25,8439,49.0,1.0,-0.9712119999999999
0.25,8497,50.12,1.0,-0.972016
0.25,8594,48.74,1.0,-0.9716339999999997
0.25,8620,48.04,1.0,-0.9726079999999997
0.25,8748,50.4,1.0,-0.9709480000000003
0.25,8935,50.42,1.0,-0.971114
0.25,9079,48.24,1.0,-0.9711080000000003
0.25,9151,51.5,1.0,-0.9706019999999999
0.25,9591,46.92,1.0,-0.971884
0.25,9605,49.04,1.0,-0.9717
0.25,9616,48.92,1.0,-0.9705480000000003
0.25,9643,49.48,1.0,-0.9710080000000002
0.25,9657,46.88,1.0,-0.9736720000000002
0.25,9908,50.86,1.0,-0.9714860000000001
0.25,9972,48.38,1.0,-0.9716740000000001
0.5,130,51.12,1.0,-0.970492
0.5,446,49.3,1.0,-0.9725779999999996
0.5,503,49.94,1.0,-0.9717420000000001
0.5,547,51.18,1.0,-0.9722539999999998
0.5,698,53.14,1.0,-0.970918
0.5,785,50.96,1.0,-0.9704920000000001
0.5,1083,48.36,1.0,-0.9713120000000001
0.5,1285,47.74,1.0,-0.9726259999999999
0.5,1289,49.76,1.0,-0.970756
0.5,1365,47.74,1.0,-0.9727579999999999
0.5,1415,48.44,1.0,-0.970852
0.5,1477,50.32,1.0,-0.9717760000000005
0.5,1674,50.7,1.0,-0.9709779999999999
0.5,1776,48.74,1.0,-0.971186
0.5,1891,49.68,1.0,-0.9710599999999997
0.5,2188,50.06,1.0,-0.9705819999999998
0.5,2338,50.84,1.0,-0.9711719999999999
0.5,2389,50.34,1.0,-0.9702019999999999
0.5,2408,49.92,1.0,-0.9714839999999999
0.5,2420,47.2,1.0,-0.9725120000000004
0.5,2548,50.56,1.0,-0.970724
0.5,2555,50.2,1.0,-0.970556
0.5,2631,51.04,1.0,-0.9701560000000002
0.5,2640,50.44,1.0,-0.9716159999999999
0.5,2767,50.58,1.0,-0.9715859999999998
0.5,2980,50.26,1.0,-0.9715300000000002
0.5,3225,47.92,1.0,-0.971528
0.5,3432,50.38,1.0,-0.970838
0.5,3517,50.24,1.0,-0.9704920000000005
0.5,3715,49.46,1.0,-0.9716020000000002
0.5,3786,48.74,1.0,-0.9717179999999997
0.5,3859,49.06,1.0,-0.9706259999999999
0.5,4067,47.72,1.0,-0.9715560000000001
0.5,4106,50.06,1.0,-0.9719539999999999
0.5,4166,49.0,1.0,-0.9714880000000001
0.5,4199,48.14,1.0,-0.9710659999999999
0.5,4237,48.94,1.0,-0.9715700000000002
0.5,4572,48.28,1.0,-0.9711320000000004
0.5,4697,50.26,1.0,-0.9710699999999999
0.5,4803,47.54,1.0,-0.9721059999999997
0.5,4847,50.46,1.0,-0.9706980000000004
0.5,4897,49.82,1.0,-0.9712460000000004
0.5,4927,49.14,1.0,-0.9713540000000002
0.5,4965,49.36,1.0,-0.9709159999999997
0.5,4977,50.82,1.0,-0.9702339999999998
0.5,5004,48.76,1.0,-0.9707399999999997
0.5,5221,49.48,1.0,-0.9713960000000001
0.5,5242,50.5,1.0,-0.9703700000000002
0.5,5265,50.54,1.0,-0.971342
0.5,5402,50.3,1.0,-0.9715940000000002
0.5,5777,50.84,1.0,-0.9702479999999999
0.5,5816,51.34,1.0,-0.970786
0.5,5862,52.58,1.0,-0.9702060000000003
0.5,5999,47.78,1.0,-0.9720380000000002
0.5,6119,46.88,1.0,-0.9717999999999999
0.5,6167,49.24,1.0,-0.9718960000000001
0.5,6194,50.22,1.0,-0.9716140000000002
0.5,6251,50.08,1.0,-0.9712719999999995
0.5,6380,48.62,1.0,-0.9716220000000001
0.5,6491,50.92,1.0,-0.9709759999999998
0.5,6514,47.08,1.0,-0.9721639999999997
0.5,6525,50.1,1.0,-0.9710619999999998
0.5,6684,49.94,1.0,-0.9711820000000002
0.5,6754,48.86,1.0,-0.9718780000000001
0.5,6761,48.28,1.0,-0.9722359999999999
0.5,6866,48.92,1.0,-0.9719199999999998
0.5,7093,50.38,1.0,-0.9705619999999997
0.5,7334,49.94,1.0,-0.9711940000000004
0.5,7347,50.64,1.0,-0.9716359999999998
0.5,7451,50.56,1.0,-0.9711159999999996
0.5,7468,47.2,1.0,-0.9722679999999998
0.5,7599,50.38,1.0,-0.9707339999999999
0.5,7679,50.4,1.0,-0.9707760000000002
0.5,7716,49.54,1.0,-0.9719699999999999
0.5,7718,48.4,1.0,-0.971824
0.5,7864,50.2,1.0,-0.9714760000000001
0.5,7877,48.6,1.0,-0.9711799999999997
0.5,7963,49.14,1.0,-0.9714460000000001
0.5,7974,51.06,1.0,-0.9701419999999998
0.5,8047,49.76,1.0,-0.9708480000000002
0.5,8080,49.14,1.0,-0.9718460000000002
0.5,8282,48.0,1.0,-0.9717960000000001
0.5,8317,48.34,1.0,-0.9718379999999998
0.5,8387,48.8,1.0,-0.9719519999999997
0.5,8439,49.0,1.0,-0.9712119999999999
0.5,8497,50.12,1.0,-0.972016
0.5,8594,48.74,1.0,-0.9716339999999997
0.5,8620,48.04,1.0,-0.9726079999999997
0.5,8748,50.4,1.0,-0.9709480000000003
0.5,8935,50.42,1.0,-0.971114
0.5,9079,48.24,1.0,-0.9711080000000003
0.5,9151,51.5,1.0,-0.9706019999999999
0.5,9591,46.92,1.0,-0.971884
0.5,9605,49.04,1.0,-0.9717
0.5,9616,48.92,1.0,-0.9705480000000003
0.5,9643,49.48,1.0,-0.9710080000000002
0.5,9657,46.88,1.0,-0.9736720000000002
0.5,9908,50.86,1.0,-0.9714860000000001
0.5,9972,48.38,1.0,-0.9716740000000001
0.75,130,51.12,1.0,-0.970492
0.75,446,49.3,1.0,-0.9725779999999996
0.75,503,49.94,1.0,-0.9717420000000001
0.75,547,51.18,1.0,-0.9722539999999998
0.75,698,53.14,1.0,-0.970918
0.75,785,50.96,1.0,-0.9704920000000001
0.75,1083,48.36,1.0,-0.9713120000000001
0.75,1285,47.74,1.0,-0.9726259999999999
0.75,1289,49.76,1.0,-0.970756
0.75,1365,47.74,1.0,-0.9727579999999999
0.75,1415,48.44,1.0,-0.970852
0.75,1477,50.32,1.0,-0.9717760000000005
0.75,1674,50.7,1.0,-0.9709779999999999
0.75,1776,48.74,1.0,-0.971186
0.75,1891,49.68,1.0,-0.9710599999999997
0.75,2188,50.06,1.0,-0.9705819999999998
0.75,2338,50.84,1.0,-0.9711719999999999
0.75,2389,50.34,1.0,-0.9702019999999999
0.75,2408,49.92,1.0,-0.9714839999999999
0.75,2420,47.2,1.0,-0.9725120000000004
0.75,2548,50.56,1.0,-0.970724
0.75,2555,50.2,1.0,-0.970556
0.75,2631,51.04,1.0,-0.9701560000000002
0.75,2640,50.44,1.0,-0.9716159999999999
0.75,2767,50.58,1.0,-0.9715859999999998
0.75,2980,50.26,1.0,-0.9715300000000002
0.75,3225,47.92,1.0,-0.971528
0.75,3432,50.38,1.0,-0.970838
0.75,3517,50.24,1.0,-0.9704920000000005
0.75,3715,49.46,1.0,-0.9716020000000002
0.75,3786,48.74,1.0,-0.9717179999999997
0.75,3859,49.06,1.0,-0.9706259999999999
0.75,4067,47.72,1.0,-0.9715560000000001
0.75,4106,50.06,1.0,-0.9719539999999999
0.75,4166,49.0,1.0,-0.9714880000000001
0.75,4199,48.14,1.0,-0.9710659999999999
0.75,4237,48.94,1.0,-0.9715700000000002
0.75,4572,48.28,1.0,-0.9711320000000004
0.75,4697,50.26,1.0,-0.9710699999999999
0.75,4803,47.54,1.0,-0.9721059999999997
0.75,4847,50.46,1.0,-0.9706980000000004
0.75,4897,49.82,1.0,-0.9712460000000004
0.75,4927,49.14,1.0,-0.9713540000000002
0.75,4965,49.36,1.0,-0.9709159999999997
0.75,4977,50.82,1.0,-0.9702339999999998
0.75,5004,48.76,1.0,-0.9707399999999997
0.75,5221,49.48,1.0,-0.9713960000000001
0.75,5242,50.5,1.0,-0.9703700000000002
0.75,5265,50.54,1.0,-0.971342
0.75,5402,50.3,1.0,-0.9715940000000002
0.75,5777,50.84,1.0,-0.9702479999999999
0.75,5816,51.34,1.0,-0.970786
0.75,5862,52.58,1.0,-0.9702060000000003
0.75,5999,47.78,1.0,-0.9720380000000002
0.75,6119,46.88,1.0,-0.9717999999999999
0.75,6167,49.24,1.0,-0.9718960000000001
0.75,6194,50.22,1.0,-0.9716140000000002
0.75,6251,50.08,1.0,-0.9712719999999995
0.75,6380,48.62,1.0,-0.9716220000000001
0.75,6491,50.92,1.0,-0.9709759999999998
0.75,6514,47.08,1.0,-0.9721639999999997
0.75,6525,50.1,1.0,-0.9710619999999998
0.75,6684,49.94,1.0,-0.9711820000000002
0.75,6754,48.86,1.0,-0.9718780000000001
0.75,6761,48.28,1.0,-0.9722359999999999
0.75,6866,48.92,1.0,-0.9719199999999998
0.75,7093,50.38,1.0,-0.9705619999999997
0.75,7334,49.94,1.0,-0.9711940000000004
0.75,7347,50.64,1.0,-0.9716359999999998
0.75,7451,50.56,1.0,-0.9711159999999996
0.75,7468,47.2,1.0,-0.9722679999999998
0.75,7599,50.38,1.0,-0.9707339999999999
0.75,7679,50.4,1.0,-0.9707760000000002
0.75,7716,49.54,1.0,-0.9719699999999999
0.75,7718,48.4,1.0,-0.971824
0.75,7864,50.2,1.0,-0.9714760000000001
0.75,7877,48.6,1.0,-0.9711799999999997
0.75,7963,49.14,1.0,-0.9714460000000001
0.75,7974,51.06,1.0,-0.9701419999999998
0.75,8047,49.76,1.0,-0.9708480000000002
0.75,8080,49.14,1.0,-0.9718460000000002
0.75,8282,48.0,1.0,-0.9717960000000001
0.75,8317,48.34,1.0,-0.9718379999999998
0.75,8387,48.8,1.0,-0.9719519999999997
0.75,8439,49.0,1.0,-0.9712119999999999
0.75,8497,50.12,1.0,-0.972016
0.75,8594,48.74,1.0,-0.9716339999999997
0.75,8620,48.04,1.0,-0.9726079999999997
0.75,8748,50.4,1.0,-0.9709480000000003
0.75,8935,50.42,1.0,-0.971114
0.75,9079,48.24,1.0,-0.9711080000000003
0.75,9151,51.5,1.0,-0.9706019999999999
0.75,9591,46.92,1.0,-0.971884
0.75,9605,49.04,1.0,-0.9717
0.75,9616,48.92,1.0,-0.9705480000000003
0.75,9643,49.48,1.0,-0.9710080000000002
0.75,9657,46.88,1.0,-0.9736720000000002
0.75,9908,50.86,1.0,-0.9714860000000001
0.75,9972,48.38,1.0,-0.9716740000000001
1.0,130,51.12,1.0,-0.970492
1.0,446,49.3,1.0,-0.9725779999999996
1.0,503,49.94,1.0,-0.9717420000000001
1.0,547,51.18,1.0,-0.9722539999999998
1.0,698,53.14,1.0,-0.970918
1.0,785,50.96,1.0,-0.9704920000000001
1.0,1083,48.36,1.0,-0.9713120000000001
1.0,1285,47.74,1.0,-0.9726259999999999
1.0,1289,49.76,1.0,-0.970756
1.0,1365,47.74,1.0,-0.9727579999999999
1.0,1415,48.44,1.0,-0.970852
1.0,1477,50.32,1.0,-0.9717760000000005
1.0,1674,50.7,1.0,-0.9709779999999999
1.0,1776,48.74,1.0,-0.971186
1.0,1891,49.68,1.0,-0.9710599999999997
1.0,2188,50.06,1.0,-0.9705819999999998
1.0,2338,50.84,1.0,-0.9711719999999999
1.0,2389,50.34,1.0,-0.9702019999999999
1.0,2408,49.92,1.0,-0.9714839999999999
1.0,2420,47.2,1.0,-0.9725120000000004
1.0,2548,50.56,1.0,-0.970724
1.0,2555,50.2,1.0,-0.970556
1.0,2631,51.04,1.0,-0.9701560000000002
1.0,2640,50.44,1.0,-0.9716159999999999
1.0,2767,50.58,1.0,-0.9715859999999998
1.0,2980,50.26,1.0,-0.9715300000000002
1.0,3225,47.92,1.0,-0.971528
1.0,3432,50.38,1.0,-0.970838
1.0,3517,50.24,1.0,-0.9704920000000005
1.0,3715,49.46,1.0,-0.9716020000000002
1.0,3786,48.74,1.0,-0.9717179999999997
1.0,3859,49.06,1.0,-0.9706259999999999
1.0,4067,47.72,1.0,-0.9715560000000001
1.0,4106,50.06,1.0,-0.9719539999999999
1.0,4166,49.0,1.0,-0.9714880000000001
1.0,4199,48.14,1.0,-0.9710659999999999
1.0,4237,48.94,1.0,-0.9715700000000002
1.0,4572,48.28,1.0,-0.9711320000000004
1.0,4697,50.26,1.0,-0.9710699999999999
1.0,4803,47.54,1.0,-0.9721059999999997
1.0,4847,50.46,1.0,-0.9706980000000004
1.0,4897,49.82,1.0,-0.9712460000000004
1.0,4927,49.14,1.0,-0.9713540000000002
1.0,4965,49.36,1.0,-0.9709159999999997
1.0,4977,50.82,1.0,-0.9702339999999998
1.0,5004,48.76,1.0,-0.9707399999999997
1.0,5221,49.48,1.0,-0.9713960000000001
1.0,5242,50.5,1.0,-0.9703700000000002
1.0,5265,50.54,1.0,-0.971342
1.0,5402,50.3,1.0,-0.9715940000000002
1.0,5777,50.84,1.0,-0.9702479999999999
1.0,5816,51.34,1.0,-0.970786
1.0,5862,52.58,1.0,-0.9702060000000003
1.0,5999,47.78,1.0,-0.9720380000000002
1.0,6119,46.88,1.0,-0.9717999999999999
1.0,6167,49.24,1.0,-0.9718960000000001
1.0,6194,50.22,1.0,-0.9716140000000002
1.0,6251,50.08,1.0,-0.9712719999999995
1.0,6380,48.62,1.0,-0.9716220000000001
1.0,6491,50.92,1.0,-0.9709759999999998
1.0,6514,47.08,1.0,-0.9721639999999997
1.0,6525,50.1,1.0,-0.9710619999999998
1.0,6684,49.94,1.0,-0.9711820000000002
1.0,6754,48.86,1.0,-0.9718780000000001
1.0,6761,48.28,1.0,-0.9722359999999999
1.0,6866,48.92,1.0,-0.9719199999999998
1.0,7093,50.38,1.0,-0.9705619999999997
1.0,7334,49.94,1.0,-0.9711940000000004
1.0,7347,50.64,1.0,-0.9716359999999998
1.0,7451,50.56,1.0,-0.9711159999999996
1.0,7468,47.2,1.0,-0.9722679999999998
1.0,7599,50.38,1.0,-0.9707339999999999
1.0,7679,50.4,1.0,-0.9707760000000002
1.0,7716,49.54,1.0,-0.9719699999999999
1.0,7718,48.4,1.0,-0.971824
1.0,7864,50.2,1.0,-0.9714760000000001
1.0,7877,48.6,1.0,-0.9711799999999997
1.0,7963,49.14,1.0,-0.9714460000000001
1.0,7974,51.06,1.0,-0.9701419999999998
1.0,8047,49.76,1.0,-0.9708480000000002
1.0,8080,49.14,1.0,-0.9718460000000002
1.0,8282,48.0,1.0,-0.9717960000000001
1.0,8317,48.34,1.0,-0.9718379999999998
1.0,8387,48.8,1.0,-0.9719519999999997
1.0,8439,49.0,1.0,-0.9712119999999999
1.0,8497,50.12,1.0,-0.972016
1.0,8594,48.74,1.0,-0.9716339999999997
1.0,8620,48.04,1.0,-0.9726079999999997
1.0,8748,50.4,1.0,-0.9709480000000003
1.0,8935,50.42,1.0,-0.971114
1.0,9079,48.24,1.0,-0.9711080000000003
1.0,9151,51.5,1.0,-0.9706019999999999
1.0,9591,46.92,1.0,-0.971884
1.0,9605,49.04,1.0,-0.9717
1.0,9616,48.92,1.0,-0.9705480000000003
1.0,9643,49.48,1.0,-0.9710080000000002
1.0,9657,46.88,1.0,-0.9736720000000002
1.0,9908,50.86,1.0,-0.9714860000000001
1.0,9972,48.38,1.0,-0.9716740000000001
