resistance,node,metric,max_level,avg_level
0.25,87,4.44,0.88,-0.9988720000000001
0.25,225,4.36,0.86,-0.9989520000000001
0.25,265,4.06,0.88,-0.999006
0.25,381,4.44,0.88,-0.998972
0.25,586,3.76,0.94,-0.9990399999999999
0.25,626,3.92,0.92,-0.9990159999999996
0.25,726,4.7,0.92,-0.9989220000000006
0.25,815,3.88,0.8,-0.9990640000000001
0.25,1300,4.72,0.88,-0.9988759999999998
0.25,1315,4.58,0.94,-0.9987980000000001
0.25,1706,3.9,0.88,-0.9990260000000001
0.25,1771,4.0,0.88,-0.9989839999999995
0.25,1803,4.14,0.92,-0.998926
0.25,2192,4.14,0.88,-0.9989540000000002
0.25,2277,4.26,0.88,-0.9988779999999997
0.25,2379,4.32,0.8,-0.998892
0.25,2389,4.1,0.86,-0.998974
0.25,2418,4.3,0.94,-0.9989779999999997
0.25,2554,4.46,0.84,-0.9988859999999998
0.25,2603,4.0,0.92,-0.9989719999999997
0.25,2644,4.6,0.86,-0.9989559999999998
0.25,2651,4.62,0.86,-0.9989420000000001
0.25,2908,4.38,0.84,-0.9990020000000003
0.25,2951,4.08,0.88,-0.9990080000000002
0.25,2977,4.0,0.8,-0.9989639999999995
0.25,3093,4.58,0.94,-0.9988260000000001
0.25,3140,4.8,0.94,-0.998688
0.25,3324,4.26,0.8,-0.99887
0.25,3345,3.62,0.78,-0.9991860000000004
0.25,3355,4.3,0.86,-0.9988819999999999
0.25,3390,4.14,0.9,-0.9989900000000005
0.25,3416,4.1,0.8,-0.999062
0.25,3440,4.3,0.92,-0.9988940000000001
0.25,3497,3.9,0.9,-0.9990739999999999
0.25,3669,4.36,0.98,-0.9988640000000002
0.25,3690,4.18,0.88,-0.9989459999999998
0.25,3695,4.48,0.92,-0.9989
0.25,3710,3.92,0.84,-0.9991400000000001
0.25,3790,4.04,0.92,-0.9990119999999998
0.25,3817,4.4,0.82,-0.9989080000000002
0.25,3836,3.94,0.76,-0.999014
0.25,3849,3.74,0.82,-0.9990779999999999
0.25,3888,3.94,0.88,-0.999058
0.25,4224,4.2,0.92,-0.9989719999999997
0.25,4299,4.82,0.88,-0.9987980000000001
0.25,4301,4.6,0.86,-0.9988520000000003
0.25,4361,4.22,0.82,-0.9989459999999998
0.25,4367,4.22,0.92,-0.99897
0.25,4372,4.18,0.82,-0.9989340000000007
0.25,4540,4.4,0.96,-0.9988640000000004
0.25,4614,3.98,0.84,-0.9990380000000001
0.25,4663,4.0,0.88,-0.9990119999999998
0.25,4682,4.52,0.94,-0.9989199999999999
0.25,4720,3.92,0.78,-0.9990679999999996
