resistance,node,metric,max_level,avg_level
0.25,117,9.46,1.0,-0.996454
0.25,148,10.0,1.0,-0.99638
0.25,322,9.02,1.0,-0.996602
0.25,408,8.64,1.0,-0.9966720000000002
0.25,479,9.86,1.0,-0.996386
0.25,515,9.22,1.0,-0.9964179999999999
0.25,529,9.28,1.0,-0.9963560000000001
0.25,548,8.76,1.0,-0.99658
0.25,640,9.0,1.0,-0.996464
0.25,870,9.72,1.0,-0.9962880000000002
0.25,876,9.28,1.0,-0.996408
0.25,1095,8.84,1.0,-0.996732
0.25,1145,9.44,1.0,-0.9963200000000001
0.25,1290,9.8,1.0,-0.996184
0.25,1438,9.22,1.0,-0.9965419999999996
0.25,1497,8.6,1.0,-0.996584
0.25,1527,10.16,1.0,-0.9960400000000001
0.25,1562,9.32,1.0,-0.9963479999999998
0.25,1593,10.1,1.0,-0.9963259999999997
0.25,1756,9.54,1.0,-0.9962420000000003
0.25,1774,9.14,1.0,-0.9965220000000002
0.25,1829,8.62,1.0,-0.9965179999999998
0.25,1862,8.66,1.0,-0.9966859999999995
0.25,1989,9.3,1.0,-0.9964260000000001
0.25,2200,9.28,1.0,-0.9964240000000002
0.25,2213,8.78,1.0,-0.9966859999999998
0.25,2335,9.16,1.0,-0.9966200000000001
0.25,2406,9.38,1.0,-0.9963619999999997
0.25,2621,9.44,1.0,-0.9964279999999998
0.25,2934,9.06,1.0,-0.9963499999999997
0.25,3063,8.92,1.0,-0.996372
0.25,3276,9.32,1.0,-0.9962439999999997
0.25,3331,10.0,1.0,-0.9961279999999998
0.25,3350,9.16,1.0,-0.996304
0.25,3524,8.72,1.0,-0.996708
0.25,3637,9.12,1.0,-0.9965320000000003
0.25,3739,8.38,1.0,-0.9965740000000003
0.25,3770,8.94,1.0,-0.9965939999999999
0.25,3802,9.46,0.98,-0.9964260000000001
0.25,3920,9.26,1.0,-0.9964780000000001
0.25,3986,9.46,1.0,-0.9963940000000001
0.25,4157,8.48,1.0,-0.9966719999999999
0.25,4168,9.38,1.0,-0.9965020000000001
0.25,4245,9.34,1.0,-0.9961859999999999
0.25,4378,9.8,1.0,-0.9962919999999995
0.25,4515,8.96,1.0,-0.9965840000000002
0.25,4608,9.36,1.0,-0.9965040000000001
0.25,4738,9.14,1.0,-0.9965420000000001
0.25,4799,9.0,1.0,-0.996448
0.25,4801,8.86,1.0,-0.9966659999999998
0.25,4863,8.7,1.0,-0.9967779999999999
0.25,5050,9.0,1.0,-0.9967399999999997
0.25,5069,8.82,1.0,-0.99647
0.25,5216,8.62,1.0,-0.9967499999999998
0.25,5358,8.96,1.0,-0.996684
0.25,5360,9.42,1.0,-0.9964899999999999
0.25,5590,9.1,1.0,-0.9964259999999999
0.25,5916,9.08,1.0,-0.9964280000000002
0.25,6356,9.32,1.0,-0.9966200000000001
0.25,6383,9.18,1.0,-0.9963259999999999
0.25,6470,8.88,1.0,-0.9965920000000001
0.25,6567,9.32,1.0,-0.9962639999999996
0.25,6903,9.14,1.0,-0.9964139999999999
0.25,6965,8.9,1.0,-0.9964459999999998
0.25,7022,9.34,1.0,-0.9964259999999999
0.25,7157,9.12,1.0,-0.9965719999999999
0.25,7545,8.86,1.0,-0.9965260000000002
0.25,7683,9.3,1.0,-0.9964820000000002
0.25,7692,8.5,1.0,-0.9967580000000001
0.25,7726,9.18,0.98,-0.996746
0.25,7762,8.96,1.0,-0.9965720000000001
0.25,7819,8.74,1.0,-0.9967260000000002
0.25,7839,9.4,1.0,-0.9964360000000003
0.25,8070,8.8,1.0,-0.9964240000000001
0.25,8135,8.84,1.0,-0.9964439999999999
0.25,8298,9.24,1.0,-0.9965039999999997
0.25,8394,9.08,1.0,-0.9966639999999997
0.25,8408,9.3,1.0,-0.9965019999999999
0.25,8409,8.96,1.0,-0.9966360000000001
0.25,8454,9.46,1.0,-0.9963420000000001
0.25,8541,9.44,1.0,-0.9965119999999997
0.25,8567,9.68,1.0,-0.9964320000000001
0.25,8629,9.88,1.0,-0.9961000000000001
0.25,8648,8.92,1.0,-0.9965080000000001
0.25,8821,8.64,1.0,-0.9966000000000002
0.25,8956,9.48,1.0,-0.9964040000000003
0.25,9142,9.46,1.0,-0.9964140000000001
0.25,9183,9.16,1.0,-0.9965440000000001
0.25,9229,9.58,1.0,-0.9962979999999998
0.25,9299,9.08,1.0,-0.9966520000000001
