resistance,node,metric,max_level,avg_level
0.25,104,8.26,1.0,-0.9970899999999999
0.25,107,8.34,1.0,-0.9969060000000002
0.25,157,8.04,1.0,-0.99696
0.25,238,8.12,1.0,-0.9968960000000001
0.25,296,8.36,1.0,-0.9970880000000001
0.25,326,8.14,0.98,-0.9968100000000001
0.25,397,8.38,0.98,-0.9969820000000001
0.25,445,9.08,1.0,-0.9967600000000003
0.25,569,7.6,1.0,-0.9970639999999997
0.25,574,8.28,1.0,-0.9968679999999995
0.25,592,8.82,1.0,-0.9968820000000003
0.25,640,8.7,1.0,-0.996926
0.25,682,7.8,1.0,-0.997056
0.25,690,8.5,1.0,-0.996846
0.25,742,7.86,0.98,-0.9968780000000002
0.25,838,8.74,1.0,-0.99673
0.25,922,8.0,1.0,-0.9968159999999997
0.25,1104,8.36,1.0,-0.9970240000000002
0.25,1315,7.88,1.0,-0.9971759999999997
0.25,1337,9.24,1.0,-0.9966280000000003
0.25,1729,9.14,1.0,-0.9966899999999996
0.25,1750,8.5,1.0,-0.996842
0.25,1761,7.98,1.0,-0.997138
0.25,1907,8.76,1.0,-0.9968679999999998
0.25,1910,7.68,1.0,-0.9972199999999998
0.25,1944,8.08,1.0,-0.9969639999999999
0.25,2079,7.64,1.0,-0.9970439999999998
0.25,2083,7.68,1.0,-0.9968839999999999
0.25,2256,8.1,1.0,-0.9970299999999999
0.25,2273,8.64,1.0,-0.9969560000000003
0.25,2414,8.36,1.0,-0.9969199999999999
0.25,2641,8.18,1.0,-0.9969819999999997
0.25,2771,9.06,1.0,-0.9967619999999998
0.25,2920,8.74,1.0,-0.9968739999999998
0.25,3049,8.72,1.0,-0.9968719999999994
0.25,3084,8.16,1.0,-0.9970319999999999
0.25,3175,7.72,1.0,-0.9971799999999998
0.25,3194,7.74,0.98,-0.9970099999999996
0.25,3261,7.9,1.0,-0.9970260000000003
0.25,3402,8.34,1.0,-0.9969580000000002
0.25,3539,8.02,1.0,-0.9970300000000001
0.25,3589,7.72,1.0,-0.9970959999999998
0.25,3829,8.18,1.0,-0.9969619999999999
0.25,4010,8.76,1.0,-0.996648
