,realization,node,resistance,metric,max_level,avg_level
0,0,4281,0.25,2840,1,0.4286
1,0,4281,0.5,2840,1,0.4286
2,0,4281,0.75,2840,1,0.4286
3,0,4281,1.0,2840,1,0.4286
4,0,4441,0.25,1265,1,-0.3307
5,0,4441,0.5,1265,1,-0.3307
6,0,4441,0.75,1265,1,-0.3307
7,0,4441,1.0,1265,1,-0.3307
8,0,7997,0.25,1007,1,-0.4339
9,0,7997,0.5,1007,1,-0.4339
10,0,7997,0.75,1007,1,-0.4339
11,0,7997,1.0,1007,1,-0.4339
12,0,2057,0.25,1936,1,-0.002
13,0,2057,0.5,1936,1,-0.002
14,0,2057,0.75,1936,1,-0.002
15,0,2057,1.0,1936,1,-0.002
16,0,7791,0.25,1754,1,-0.1764
17,0,7791,0.5,1754,1,-0.1764
18,0,7791,0.75,1754,1,-0.1764
19,0,7791,1.0,1754,1,-0.1764
20,0,266,0.25,1691,1,-0.2021
21,0,266,0.5,1691,1,-0.2021
22,0,266,0.75,1691,1,-0.2021
23,0,266,1.0,1691,1,-0.2021
24,0,1557,0.25,1902,1,-0.0932
25,0,1557,0.5,1902,1,-0.0932
26,0,1557,0.75,1902,1,-0.0932
27,0,1557,1.0,1902,1,-0.0932
28,0,8777,0.25,1471,1,-0.2193
29,0,8777,0.5,1471,1,-0.2193
30,0,8777,0.75,1471,1,-0.2193
31,0,8777,1.0,1471,1,-0.2193
32,0,8605,0.25,1437,1,-0.1797
33,0,8605,0.5,1437,1,-0.1797
34,0,8605,0.75,1437,1,-0.1797
35,0,8605,1.0,1437,1,-0.1797
36,0,4353,0.25,1619,1,-0.2633
37,0,4353,0.5,1619,1,-0.2633
38,0,4353,0.75,1619,1,-0.2633
39,0,4353,1.0,1619,1,-0.2633
40,0,6461,0.25,2522,1,0.2008
41,0,6461,0.5,2522,1,0.2008
42,0,6461,0.75,2522,1,0.2008
43,0,6461,1.0,2522,1,0.2008
44,0,5379,0.25,1062,1,-0.401
45,0,5379,0.5,1062,1,-0.401
46,0,5379,0.75,1062,1,-0.401
47,0,5379,1.0,1062,1,-0.401
48,0,2569,0.25,2832,1,0.1852
49,0,2569,0.5,2832,1,0.1852
50,0,2569,0.75,2832,1,0.1852
51,0,2569,1.0,2832,1,0.1852
52,0,6519,0.25,1543,1,-0.2635
53,0,6519,0.5,1543,1,-0.2635
54,0,6519,0.75,1543,1,-0.2635
55,0,6519,1.0,1543,1,-0.2635
56,0,1871,0.25,1641,1,-0.2371
57,0,1871,0.5,1641,1,-0.2371
58,0,1871,0.75,1641,1,-0.2371
59,0,1871,1.0,1641,1,-0.2371
60,0,405,0.25,1662,1,-0.1278
61,0,405,0.5,1662,1,-0.1278
62,0,405,0.75,1662,1,-0.1278
63,0,405,1.0,1662,1,-0.1278
64,0,4925,0.25,2843,1,0.4847
65,0,4925,0.5,2843,1,0.4847
66,0,4925,0.75,2843,1,0.4847
67,0,4925,1.0,2843,1,0.4847
68,0,8754,0.25,2090,1,0.0514
69,0,8754,0.5,2090,1,0.0514
70,0,8754,0.75,2090,1,0.0514
71,0,8754,1.0,2090,1,0.0514
72,0,6667,0.25,2713,1,0.2241
73,0,6667,0.5,2713,1,0.2241
74,0,6667,0.75,2713,1,0.2241
75,0,6667,1.0,2713,1,0.2241
76,0,679,0.25,2049,1,-0.0531
77,0,679,0.5,2049,1,-0.0531
78,0,679,0.75,2049,1,-0.0531
79,0,679,1.0,2049,1,-0.0531
80,0,9554,0.25,2348,1,-0.0564
81,0,9554,0.5,2348,1,-0.0564
82,0,9554,0.75,2348,1,-0.0564
83,0,9554,1.0,2348,1,-0.0564
84,0,8049,0.25,1516,1,-0.2874
85,0,8049,0.5,1516,1,-0.2874
86,0,8049,0.75,1516,1,-0.2874
87,0,8049,1.0,1516,1,-0.2874
88,0,8988,0.25,1625,1,-0.1981
89,0,8988,0.5,1625,1,-0.1981
90,0,8988,0.75,1625,1,-0.1981
