resistance,node,metric,max_level,avg_level
0.25,15,8.56,0.98,-0.9936560000000001
0.25,19,8.5,1.0,-0.9937799999999997
0.25,20,9.08,1.0,-0.9929199999999997
0.25,48,8.52,1.0,-0.9937199999999998
0.25,52,8.0,1.0,-0.9932079999999998
0.25,57,8.78,1.0,-0.9930760000000001
0.25,58,8.52,0.98,-0.9932319999999997
0.25,60,9.06,1.0,-0.9931960000000001
0.25,66,8.32,1.0,-0.9938159999999999
0.25,78,8.82,1.0,-0.9933239999999998
0.25,79,9.06,1.0,-0.9930599999999995
0.25,80,9.16,1.0,-0.993472
0.25,84,8.72,1.0,-0.993384
0.25,90,9.24,1.0,-0.9929359999999998
0.25,93,8.72,1.0,-0.9932480000000001
0.25,102,8.88,1.0,-0.993592
0.25,108,8.38,1.0,-0.9936440000000001
0.25,115,8.1,0.98,-0.9939480000000003
0.25,123,8.32,1.0,-0.9940080000000002
0.25,125,8.22,1.0,-0.993892
0.25,126,9.0,1.0,-0.993504
0.25,128,8.66,1.0,-0.9936680000000001
0.25,141,8.46,1.0,-0.99386
0.25,148,9.32,1.0,-0.9930080000000001
0.25,149,8.66,1.0,-0.9930440000000001
0.25,150,8.78,0.98,-0.9934600000000002
0.25,151,8.48,1.0,-0.9933360000000002
0.25,161,9.42,1.0,-0.9927159999999999
0.25,165,8.52,1.0,-0.9936400000000003
0.25,169,8.6,0.98,-0.9935839999999996
0.25,175,8.8,1.0,-0.9931360000000001
0.25,181,9.0,1.0,-0.9928479999999995
0.25,193,9.1,1.0,-0.9930360000000005
0.25,195,8.18,1.0,-0.9937239999999998
0.25,202,8.56,1.0,-0.9931439999999998
0.25,208,8.38,1.0,-0.993636
0.25,215,8.2,1.0,-0.9937759999999999
0.25,216,8.3,1.0,-0.9935
0.25,218,8.82,1.0,-0.9932679999999996
0.25,221,9.16,1.0,-0.993112
0.25,230,8.34,1.0,-0.9936839999999999
0.25,234,8.26,1.0,-0.9933640000000002
0.25,235,8.42,1.0,-0.9936760000000001
0.25,252,8.72,1.0,-0.9936800000000001
0.25,253,9.42,1.0,-0.992996
0.25,257,8.32,1.0,-0.9935199999999998
0.25,261,8.18,1.0,-0.9939879999999998
0.25,277,8.94,1.0,-0.993548
0.25,281,8.32,1.0,-0.9932960000000002
0.25,293,8.92,0.98,-0.9930079999999997
0.25,296,9.22,1.0,-0.9928279999999999
0.25,298,8.88,1.0,-0.9939120000000002
0.25,301,8.92,1.0,-0.9932719999999997
0.25,306,8.82,1.0,-0.9932920000000003
0.25,320,7.96,0.98,-0.9934879999999998
0.25,327,7.76,1.0,-0.9939600000000002
0.25,337,8.66,1.0,-0.9934279999999999
0.25,338,9.16,1.0,-0.9929679999999999
0.25,353,8.98,1.0,-0.993188
0.25,355,8.74,1.0,-0.9936600000000001
0.25,360,8.24,0.98,-0.993728
0.25,363,8.86,1.0,-0.9931640000000007
0.25,375,8.4,1.0,-0.9933919999999997
0.25,382,8.76,1.0,-0.9938239999999999
0.25,383,8.72,1.0,-0.9930879999999999
0.25,385,8.14,1.0,-0.9934519999999999
0.25,388,8.28,1.0,-0.9940079999999998
0.25,389,9.14,1.0,-0.9937639999999998
0.25,393,8.48,1.0,-0.9937280000000007
0.25,394,8.22,0.98,-0.993892
0.25,397,8.46,1.0,-0.9934439999999999
0.25,400,8.72,1.0,-0.9933919999999999
0.25,403,8.66,1.0,-0.993396
0.25,404,9.16,1.0,-0.9930559999999999
0.25,410,8.44,1.0,-0.993464
0.25,419,8.78,1.0,-0.9933320000000002
0.25,422,8.84,1.0,-0.9932799999999997
0.25,431,8.74,1.0,-0.9936840000000005
0.25,437,8.74,1.0,-0.9933720000000001
0.25,465,8.2,1.0,-0.993784
0.25,468,8.46,1.0,-0.9936040000000002
0.25,479,8.72,1.0,-0.992944
0.25,481,8.74,1.0,-0.9934519999999999
0.25,485,8.5,1.0,-0.9937159999999996
0.25,493,8.54,1.0,-0.9932439999999997
0.25,512,9.1,1.0,-0.9934200000000003
0.25,519,8.58,1.0,-0.9932919999999998
0.25,524,8.9,1.0,-0.9934839999999998
0.25,541,8.6,1.0,-0.993672
0.25,547,8.36,0.98,-0.993976
0.25,548,8.22,1.0,-0.9938119999999999
0.25,552,8.56,1.0,-0.9936639999999999
0.25,557,8.62,1.0,-0.9936520000000002
0.25,568,9.0,1.0,-0.99328
0.25,576,8.9,1.0,-0.993044
0.25,590,8.24,1.0,-0.9937600000000002
0.25,591,9.28,1.0,-0.99308
0.25,592,8.1,0.98,-0.993676
0.25,602,8.26,1.0,-0.9936039999999998
0.25,613,8.48,1.0,-0.9934320000000001
0.25,618,8.16,1.0,-0.993656
0.25,622,8.46,1.0,-0.9935479999999997
0.25,624,8.8,0.98,-0.9932399999999997
0.25,627,8.74,1.0,-0.993828
0.25,633,8.66,1.0,-0.9933240000000001
0.25,634,8.4,1.0,-0.9938799999999999
0.25,637,9.04,1.0,-0.9931759999999997
0.25,644,7.7,1.0,-0.993836
0.25,651,8.16,1.0,-0.9936399999999997
0.25,652,8.74,1.0,-0.993236
0.25,657,9.26,1.0,-0.9932040000000002
0.25,663,8.82,1.0,-0.9933320000000001
0.25,667,8.32,1.0,-0.993296
0.25,669,8.9,1.0,-0.9933080000000004
0.25,673,9.56,1.0,-0.9929680000000001
0.25,678,8.7,1.0,-0.9936440000000001
0.25,680,8.96,1.0,-0.9933120000000002
0.25,686,8.98,1.0,-0.9935879999999996
0.25,689,8.9,1.0,-0.993108
0.25,695,8.52,1.0,-0.993464
0.25,696,8.46,1.0,-0.9937079999999997
0.25,700,8.1,1.0,-0.9939880000000002
0.25,702,9.08,1.0,-0.9932800000000002
0.25,703,9.1,1.0,-0.9931
0.25,704,8.54,1.0,-0.9935399999999999
0.25,712,9.3,1.0,-0.9930520000000002
0.25,713,9.08,1.0,-0.9929759999999999
0.25,714,9.24,1.0,-0.993048
0.25,717,8.1,0.98,-0.9944360000000004
0.25,720,8.56,1.0,-0.9939999999999994
0.25,728,8.9,1.0,-0.9931160000000001
0.25,729,8.06,1.0,-0.9933240000000002
0.25,730,8.6,1.0,-0.9935440000000001
0.25,734,8.08,1.0,-0.9936000000000004
0.25,739,9.38,0.98,-0.9932360000000002
0.25,741,8.88,1.0,-0.992952
0.25,742,8.6,1.0,-0.9931600000000003
0.25,746,8.88,1.0,-0.9933680000000001
