,realization,node,resistance,metric,max_level,avg_level
0,0,2624,0.25,5000,3,0.6906
1,0,2624,0.5,2844,1,0.4312
2,0,2624,0.75,2844,1,0.4312
3,0,2624,1.0,2844,1,0.4312
4,0,4797,0.25,5000,2,0.3218
5,0,4797,0.5,3633,1,0.2734
6,0,4797,0.75,3633,1,0.2734
7,0,4797,1.0,3633,1,0.2734
8,0,298,0.25,5000,3,0.4792
9,0,298,0.5,3192,1,0.3616
10,0,298,0.75,3192,1,0.3616
11,0,298,1.0,3192,1,0.3616
12,0,350,0.25,5000,4,1.012
13,0,350,0.5,2276,1,0.5408
14,0,350,0.75,2276,1,0.5408
15,0,350,1.0,2276,1,0.5408
16,0,2665,0.25,5000,2,0.2382
17,0,2665,0.5,3946,1,0.2108
18,0,2665,0.75,3946,1,0.2108
19,0,2665,1.0,3946,1,0.2108
20,0,755,0.25,5000,3,0.501
21,0,755,0.5,3169,1,0.3662
22,0,755,0.75,3169,1,0.3662
23,0,755,1.0,3169,1,0.3662
24,0,567,0.25,5000,2,0.1438
25,0,567,0.5,4314,1,0.1372
26,0,567,0.75,4314,1,0.1372
27,0,567,1.0,4314,1,0.1372
28,0,2025,0.25,5000,3,0.3898
29,0,2025,0.5,3504,1,0.2992
30,0,2025,0.75,3504,1,0.2992
31,0,2025,1.0,3504,1,0.2992
32,0,1951,0.25,5000,2,0.0768
33,0,1951,0.5,4620,1,0.076
34,0,1951,0.75,4620,1,0.076
35,0,1951,1.0,4620,1,0.076
36,0,1983,0.25,5000,4,1.235
37,0,1983,0.5,2033,1,0.5814
38,0,1983,0.75,2033,1,0.5814
39,0,1983,1.0,2033,1,0.5814
40,0,4331,0.25,5000,3,0.8646
41,0,4331,0.5,2465,1,0.507
42,0,4331,0.75,2465,1,0.507
43,0,4331,1.0,2465,1,0.507
44,0,4717,0.25,5000,2,0.1012
45,0,4717,0.5,4506,1,0.0988
46,0,4717,0.75,4506,1,0.0988
47,0,4717,1.0,4506,1,0.0988
48,0,3475,0.25,5000,3,0.63
49,0,3475,0.5,2930,1,0.414
50,0,3475,0.75,2930,1,0.414
51,0,3475,1.0,2930,1,0.414
52,0,2371,0.25,5000,3,0.4072
53,0,2371,0.5,3474,1,0.3052
54,0,2371,0.75,3474,1,0.3052
55,0,2371,1.0,3474,1,0.3052
56,0,2099,0.25,5000,2,0.1052
57,0,2099,0.5,4477,1,0.1046
58,0,2099,0.75,4477,1,0.1046
59,0,2099,1.0,4477,1,0.1046
60,0,1234,0.25,5000,3,0.6906
61,0,1234,0.5,2844,1,0.4312
62,0,1234,0.75,2844,1,0.4312
63,0,1234,1.0,2844,1,0.4312
64,0,1691,0.25,5000,4,1.4622
65,0,1691,0.5,1816,1,0.606
66,0,1691,0.75,1816,1,0.606
67,0,1691,1.0,1816,1,0.606
68,0,3359,0.25,5000,3,0.58
69,0,3359,0.5,3021,1,0.3958
70,0,3359,0.75,3021,1,0.3958
71,0,3359,1.0,3021,1,0.3958
72,0,4036,0.25,5000,3,0.4354
73,0,4036,0.5,3362,1,0.3276
74,0,4036,0.75,3362,1,0.3276
75,0,4036,1.0,3362,1,0.3276
76,0,521,0.25,5000,3,0.4514
77,0,521,0.5,3247,1,0.3506
78,0,521,0.75,3247,1,0.3506
79,0,521,1.0,3247,1,0.3506
80,0,2592,0.25,5000,4,1.5834
81,0,2592,0.5,1743,1,0.6146
82,0,2592,0.75,1743,1,0.6146
83,0,2592,1.0,1743,1,0.6146
84,0,1610,0.25,5000,3,0.632
85,0,1610,0.5,2855,1,0.429
86,0,1610,0.75,2855,1,0.429
87,0,1610,1.0,2855,1,0.429
88,0,4285,0.25,5000,3,0.5054
89,0,4285,0.5,3178,1,0.3644
90,0,4285,0.75,3178,1,0.3644
91,0,4285,1.0,3178,1,0.3644
92,0,3455,0.25,5000,4,1.1262
93,0,3455,0.5,2142,1,0.5652
94,0,3455,0.75,2142,1,0.5652
95,0,3455,1.0,2142,1,0.5652
96,0,4785,0.25,5000,4,1.3676
97,0,4785,0.5,1892,1,0.6004
98,0,4785,0.75,1892,1,0.6004
99,0,4785,1.0,1892,1,0.6004
100,0,3949,0.25,5000,3,0.6058
101,0,3949,0.5,2941,1,0.4118
102,0,3949,0.75,2941,1,0.4118
103,0,3949,1.0,2941,1,0.4118
104,0,2244,0.25,5000,3,0.3882
105,0,2244,0.5,3412,1,0.3176
106,0,2244,0.75,3412,1,0.3176
107,0,2244,1.0,3412,1,0.3176
108,0,3908,0.25,5000,2,0.3012
109,0,3908,0.5,3740,1,0.252
110,0,3908,0.75,3740,1,0.252
111,0,3908,1.0,3740,1,0.252
112,0,4411,0.25,5000,3,0.4768
113,0,4411,0.5,3310,1,0.338
114,0,4411,0.75,3310,1,0.338
115,0,4411,1.0,3310,1,0.338
116,0,2625,0.25,5000,4,1.1724
117,0,2625,0.5,2096,1,0.5712
118,0,2625,0.75,2096,1,0.5712
119,0,2625,1.0,2096,1,0.5712
120,0,1256,0.25,5000,4,1.1444
