resistance,node,metric,max_level,avg_level
0.25,382,1.52,0.08,-0.9998319999999993
0.25,989,1.74,0.2,-0.9997739999999996
0.25,1044,1.58,0.16,-0.9998019999999994
0.25,1137,1.66,0.08,-0.9998179999999995
0.25,1184,1.58,0.1,-0.9998219999999995
0.25,1249,1.66,0.14,-0.9998059999999996
0.25,1405,1.62,0.14,-0.9998059999999995
0.25,1514,1.62,0.1,-0.9998139999999995
0.25,1573,1.62,0.12,-0.9998099999999995
0.25,1676,1.54,0.14,-0.9998179999999997
0.25,1719,1.64,0.16,-0.9997999999999996
0.25,1816,1.54,0.08,-0.9998259999999994
0.25,1888,1.48,0.12,-0.9998239999999993
0.25,1930,1.68,0.22,-0.9997719999999994
0.25,1967,1.86,0.32,-0.9997379999999996
0.25,2203,1.54,0.04,-0.9998379999999994
0.25,2389,1.58,0.14,-0.9998099999999995
0.25,2401,1.64,0.14,-0.9997919999999997
0.25,2416,1.88,0.2,-0.9997599999999998
0.25,2453,1.7,0.1,-0.9998099999999994
0.25,2456,1.6,0.08,-0.9998119999999991
0.25,2464,1.42,0.08,-0.9998419999999995
0.25,2503,1.66,0.08,-0.9998179999999995
0.25,2660,1.7,0.1,-0.9998019999999996
0.25,2752,1.38,0.1,-0.9998339999999994
0.25,2876,1.58,0.12,-0.9998139999999998
0.25,2890,1.54,0.14,-0.9998139999999996
0.25,2891,1.62,0.18,-0.9998019999999994
0.25,2967,1.42,0.1,-0.9998259999999993
0.25,3139,1.74,0.18,-0.9997819999999997
0.25,3262,1.54,0.08,-0.9998299999999997
0.25,3284,1.64,0.08,-0.9998199999999997
0.25,3544,1.64,0.16,-0.9997999999999998
0.25,3646,1.84,0.2,-0.9997559999999994
0.25,3656,1.6,0.12,-0.9998079999999996
0.25,3697,1.34,0.06,-0.9998539999999996
0.25,4017,1.9,0.18,-0.9997659999999999
0.25,4155,1.38,0.06,-0.9998499999999991
0.25,4199,1.72,0.14,-0.9997839999999998
0.25,4201,1.62,0.12,-0.9998099999999996
0.25,4245,1.68,0.14,-0.9997959999999995
0.25,4303,1.72,0.1,-0.9998079999999996
0.25,4329,1.66,0.1,-0.9998059999999996
0.25,4358,1.76,0.14,-0.9997759999999997
0.25,4580,1.74,0.2,-0.9997819999999994
0.25,4750,1.8,0.16,-0.9997799999999997
0.25,4790,1.86,0.16,-0.9997699999999997
0.25,4811,1.44,0.06,-0.9998439999999994
0.25,4865,1.74,0.18,-0.9997779999999997
0.25,5036,1.64,0.12,-0.9998079999999995
0.25,5054,1.66,0.14,-0.9997979999999999
0.25,5055,1.66,0.04,-0.9998259999999997
0.25,5245,1.74,0.22,-0.9997579999999998
0.25,5266,1.64,0.1,-0.9998079999999996
0.25,5317,1.66,0.2,-0.9997859999999997
0.25,5496,1.58,0.12,-0.9998099999999994
0.25,5509,1.64,0.14,-0.9997919999999995
0.25,5537,1.66,0.26,-0.9997539999999995
0.25,5575,1.78,0.22,-0.9997659999999997
0.25,5712,1.68,0.06,-0.9998199999999996
0.25,5770,1.56,0.04,-0.9998359999999994
0.25,5930,1.7,0.08,-0.9998059999999995
0.25,5936,1.5,0.08,-0.9998259999999993
0.25,6022,1.84,0.14,-0.9997799999999998
0.25,6181,1.64,0.18,-0.9997999999999996
0.25,6325,1.62,0.1,-0.9998179999999992
0.25,6389,1.44,0.08,-0.9998279999999994
0.25,6419,1.62,0.12,-0.9998059999999995
0.25,6429,1.66,0.18,-0.9997979999999995
0.25,6463,1.78,0.1,-0.9997979999999997
0.25,6706,1.62,0.14,-0.9998019999999994
0.25,6732,1.56,0.12,-0.9998199999999994
0.25,6846,1.54,0.08,-0.9998299999999994
0.25,7016,1.7,0.12,-0.9997979999999999
0.25,7066,1.72,0.22,-0.9997799999999997
0.25,7085,1.68,0.16,-0.9997959999999994
0.25,7172,1.48,0.16,-0.9998199999999993
0.25,7609,1.64,0.1,-0.9998119999999996
0.25,7766,1.6,0.16,-0.9998079999999995
0.25,7799,1.68,0.06,-0.9998199999999996
0.25,8065,1.5,0.06,-0.9998379999999993
0.25,8067,1.56,0.14,-0.9998119999999995
0.25,8079,1.76,0.22,-0.9997759999999998
0.25,8206,1.68,0.14,-0.9997879999999995
0.25,8278,1.54,0.1,-0.9998139999999993
0.25,8405,1.64,0.06,-0.9998199999999996
0.25,8748,1.76,0.12,-0.9997959999999995
0.25,8910,1.8,0.16,-0.9997839999999997
0.25,9054,1.52,0.12,-0.9998239999999996
0.25,9084,1.62,0.14,-0.9998019999999994
0.25,9164,1.54,0.06,-0.9998339999999993
0.25,9191,1.58,0.08,-0.9998259999999998
0.25,9216,1.56,0.16,-0.9997959999999995
0.25,9249,1.36,0.14,-0.9998359999999994
0.25,9545,1.76,0.12,-0.9997959999999996
0.25,9650,1.8,0.16,-0.9997559999999995
0.25,9814,1.54,0.14,-0.9998019999999996
0.25,9948,1.72,0.16,-0.9997919999999985
0.25,9970,1.54,0.12,-0.9998179999999995
0.5,382,1.52,0.08,-0.9998319999999993
0.5,989,1.74,0.2,-0.9997739999999996
0.5,1044,1.58,0.16,-0.9998019999999994
0.5,1137,1.66,0.08,-0.9998179999999995
0.5,1184,1.58,0.1,-0.9998219999999995
0.5,1249,1.66,0.14,-0.9998059999999996
0.5,1405,1.62,0.14,-0.9998059999999995
0.5,1514,1.62,0.1,-0.9998139999999995
0.5,1573,1.62,0.12,-0.9998099999999995
0.5,1676,1.54,0.14,-0.9998179999999997
0.5,1719,1.64,0.16,-0.9997999999999996
0.5,1816,1.54,0.08,-0.9998259999999994
0.5,1888,1.48,0.12,-0.9998239999999993
0.5,1930,1.68,0.22,-0.9997719999999994
0.5,1967,1.86,0.32,-0.9997379999999996
0.5,2203,1.54,0.04,-0.9998379999999994
0.5,2389,1.58,0.14,-0.9998099999999995
0.5,2401,1.64,0.14,-0.9997919999999997
0.5,2416,1.88,0.2,-0.9997599999999998
0.5,2453,1.7,0.1,-0.9998099999999994
0.5,2456,1.6,0.08,-0.9998119999999991
0.5,2464,1.42,0.08,-0.9998419999999995
0.5,2503,1.66,0.08,-0.9998179999999995
0.5,2660,1.7,0.1,-0.9998019999999996
0.5,2752,1.38,0.1,-0.9998339999999994
0.5,2876,1.58,0.12,-0.9998139999999998
0.5,2890,1.54,0.14,-0.9998139999999996
0.5,2891,1.62,0.18,-0.9998019999999994
0.5,2967,1.42,0.1,-0.9998259999999993
0.5,3139,1.74,0.18,-0.9997819999999997
0.5,3262,1.54,0.08,-0.9998299999999997
0.5,3284,1.64,0.08,-0.9998199999999997
0.5,3544,1.64,0.16,-0.9997999999999998
0.5,3646,1.84,0.2,-0.9997559999999994
0.5,3656,1.6,0.12,-0.9998079999999996
0.5,3697,1.34,0.06,-0.9998539999999996
0.5,4017,1.9,0.18,-0.9997659999999999
0.5,4155,1.38,0.06,-0.9998499999999991
0.5,4199,1.72,0.14,-0.9997839999999998
0.5,4201,1.62,0.12,-0.9998099999999996
0.5,4245,1.68,0.14,-0.9997959999999995
0.5,4303,1.72,0.1,-0.9998079999999996
0.5,4329,1.66,0.1,-0.9998059999999996
0.5,4358,1.76,0.14,-0.9997759999999997
0.5,4580,1.74,0.2,-0.9997819999999994
0.5,4750,1.8,0.16,-0.9997799999999997
0.5,4790,1.86,0.16,-0.9997699999999997
0.5,4811,1.44,0.06,-0.9998439999999994
0.5,4865,1.74,0.18,-0.9997779999999997
0.5,5036,1.64,0.12,-0.9998079999999995
0.5,5054,1.66,0.14,-0.9997979999999999
0.5,5055,1.66,0.04,-0.9998259999999997
0.5,5245,1.74,0.22,-0.9997579999999998
0.5,5266,1.64,0.1,-0.9998079999999996
0.5,5317,1.66,0.2,-0.9997859999999997
0.5,5496,1.58,0.12,-0.9998099999999994
0.5,5509,1.64,0.14,-0.9997919999999995
0.5,5537,1.66,0.26,-0.9997539999999995
0.5,5575,1.78,0.22,-0.9997659999999997
0.5,5712,1.68,0.06,-0.9998199999999996
0.5,5770,1.56,0.04,-0.9998359999999994
0.5,5930,1.7,0.08,-0.9998059999999995
0.5,5936,1.5,0.08,-0.9998259999999993
0.5,6022,1.84,0.14,-0.9997799999999998
0.5,6181,1.64,0.18,-0.9997999999999996
0.5,6325,1.62,0.1,-0.9998179999999992
0.5,6389,1.44,0.08,-0.9998279999999994
0.5,6419,1.62,0.12,-0.9998059999999995
0.5,6429,1.66,0.18,-0.9997979999999995
0.5,6463,1.78,0.1,-0.9997979999999997
0.5,6706,1.62,0.14,-0.9998019999999994
0.5,6732,1.56,0.12,-0.9998199999999994
0.5,6846,1.54,0.08,-0.9998299999999994
0.5,7016,1.7,0.12,-0.9997979999999999
0.5,7066,1.72,0.22,-0.9997799999999997
0.5,7085,1.68,0.16,-0.9997959999999994
0.5,7172,1.48,0.16,-0.9998199999999993
0.5,7609,1.64,0.1,-0.9998119999999996
0.5,7766,1.6,0.16,-0.9998079999999995
0.5,7799,1.68,0.06,-0.9998199999999996
0.5,8065,1.5,0.06,-0.9998379999999993
0.5,8067,1.56,0.14,-0.9998119999999995
0.5,8079,1.76,0.22,-0.9997759999999998
0.5,8206,1.68,0.14,-0.9997879999999995
