,realization,node,resistance,metric,max_level,avg_level
0,0,2554,0.25,5,1,-0.9985
1,0,2554,0.5,5,1,-0.9985
2,0,2554,0.75,5,1,-0.9985
3,0,2554,1.0,5,1,-0.9985
4,0,6059,0.25,4,1,-0.9994
5,0,6059,0.5,4,1,-0.9994
6,0,6059,0.75,4,1,-0.9994
7,0,6059,1.0,4,1,-0.9994
8,0,5471,0.25,3,1,-0.9993
9,0,5471,0.5,3,1,-0.9993
10,0,5471,0.75,3,1,-0.9993
11,0,5471,1.0,3,1,-0.9993
12,0,8265,0.25,2,1,-0.9994
13,0,8265,0.5,2,1,-0.9994
14,0,8265,0.75,2,1,-0.9994
15,0,8265,1.0,2,1,-0.9994
16,0,2603,0.25,3,1,-0.9991
17,0,2603,0.5,3,1,-0.9991
18,0,2603,0.75,3,1,-0.9991
19,0,2603,1.0,3,1,-0.9991
20,0,5004,0.25,3,1,-0.9995
21,0,5004,0.5,3,1,-0.9995
22,0,5004,0.75,3,1,-0.9995
23,0,5004,1.0,3,1,-0.9995
24,0,3345,0.25,2,1,-0.9994
25,0,3345,0.5,2,1,-0.9994
26,0,3345,0.75,2,1,-0.9994
27,0,3345,1.0,2,1,-0.9994
28,0,4682,0.25,5,1,-0.9989
29,0,4682,0.5,5,1,-0.9989
30,0,4682,0.75,5,1,-0.9989
31,0,4682,1.0,5,1,-0.9989
32,0,7328,0.25,5,1,-0.9987
33,0,7328,0.5,5,1,-0.9987
34,0,7328,0.75,5,1,-0.9987
35,0,7328,1.0,5,1,-0.9987
36,0,726,0.25,1,0,-0.9999
37,0,726,0.5,1,0,-0.9999
38,0,726,0.75,1,0,-0.9999
39,0,726,1.0,1,0,-0.9999
40,0,2192,0.25,6,1,-0.9988
41,0,2192,0.5,6,1,-0.9988
42,0,2192,0.75,6,1,-0.9988
43,0,2192,1.0,6,1,-0.9988
44,0,5623,0.25,6,1,-0.9988
45,0,5623,0.5,6,1,-0.9988
46,0,5623,0.75,6,1,-0.9988
47,0,5623,1.0,6,1,-0.9988
48,0,7707,0.25,6,1,-0.9988
49,0,7707,0.5,6,1,-0.9988
50,0,7707,0.75,6,1,-0.9988
51,0,7707,1.0,6,1,-0.9988
52,0,3836,0.25,6,1,-0.9986
53,0,3836,0.5,6,1,-0.9986
54,0,3836,0.75,6,1,-0.9986
55,0,3836,1.0,6,1,-0.9986
56,0,4540,0.25,4,1,-0.9982
57,0,4540,0.5,4,1,-0.9982
58,0,4540,0.75,4,1,-0.9982
59,0,4540,1.0,4,1,-0.9982
60,0,265,0.25,3,1,-0.9993
61,0,265,0.5,3,1,-0.9993
62,0,265,0.75,3,1,-0.9993
63,0,265,1.0,3,1,-0.9993
64,0,9740,0.25,5,1,-0.9985
65,0,9740,0.5,5,1,-0.9985
66,0,9740,0.75,5,1,-0.9985
67,0,9740,1.0,5,1,-0.9985
68,0,4372,0.25,3,1,-0.9991
69,0,4372,0.5,3,1,-0.9991
70,0,4372,0.75,3,1,-0.9991
71,0,4372,1.0,3,1,-0.9991
72,0,4614,0.25,7,1,-0.9983
73,0,4614,0.5,7,1,-0.9983
74,0,4614,0.75,7,1,-0.9983
75,0,4614,1.0,7,1,-0.9983
76,0,586,0.25,3,1,-0.9993
77,0,586,0.5,3,1,-0.9993
78,0,586,0.75,3,1,-0.9993
79,0,586,1.0,3,1,-0.9993
80,0,4361,0.25,7,1,-0.9991
81,0,4361,0.5,7,1,-0.9991
82,0,4361,0.75,7,1,-0.9991
83,0,4361,1.0,7,1,-0.9991
84,0,1706,0.25,3,1,-0.9995
85,0,1706,0.5,3,1,-0.9995
86,0,1706,0.75,3,1,-0.9995
87,0,1706,1.0,3,1,-0.9995
88,0,2651,0.25,2,0,-0.9998
89,0,2651,0.5,2,0,-0.9998
90,0,2651,0.75,2,0,-0.9998
91,0,2651,1.0,2,0,-0.9998
92,0,2908,0.25,2,0,-0.9998
93,0,2908,0.5,2,0,-0.9998
94,0,2908,0.75,2,0,-0.9998
