resistance,node,metric,max_level,avg_level
0.25,4,1.8,0.22,-0.9995280000000002
0.25,7,1.72,0.18,-0.9995680000000006
0.25,20,1.68,0.16,-0.9995760000000005
0.25,22,1.44,0.06,-0.9996880000000005
0.25,49,1.78,0.18,-0.9995480000000004
0.25,57,1.72,0.18,-0.9995760000000007
0.25,63,1.84,0.12,-0.9995760000000005
0.25,65,1.66,0.1,-0.9996280000000006
0.25,74,1.74,0.18,-0.9995640000000006
0.25,80,1.56,0.14,-0.9996320000000005
0.25,88,1.7,0.16,-0.9995800000000006
0.25,95,1.68,0.12,-0.9995920000000004
0.25,101,1.68,0.14,-0.9996000000000003
0.25,104,1.62,0.14,-0.9996039999999995
0.25,106,1.72,0.1,-0.9995840000000006
0.25,107,1.48,0.08,-0.9996640000000006
0.25,112,1.9,0.28,-0.9994680000000001
0.25,144,1.76,0.08,-0.9996080000000006
0.25,145,1.58,0.08,-0.9996440000000005
0.25,161,1.82,0.16,-0.9995640000000003
0.25,167,1.86,0.26,-0.9994760000000007
0.25,169,1.66,0.22,-0.9995720000000005
0.25,177,1.78,0.14,-0.9995720000000005
0.25,178,1.82,0.14,-0.9995560000000004
0.25,196,1.78,0.22,-0.9995480000000003
0.25,197,1.58,0.06,-0.9996360000000004
0.25,203,1.62,0.1,-0.9996360000000004
0.25,206,1.66,0.12,-0.9996200000000003
0.25,211,1.64,0.08,-0.9996320000000003
0.25,216,1.5,0.16,-0.9996360000000004
0.25,220,1.58,0.12,-0.9996280000000003
0.25,223,1.72,0.12,-0.9995920000000005
0.25,228,1.74,0.12,-0.9995960000000007
0.25,237,1.44,0.06,-0.9996800000000005
0.25,242,1.58,0.08,-0.9996280000000004
0.25,246,1.64,0.16,-0.9995999999999989
0.25,249,1.66,0.12,-0.9996040000000004
0.25,250,1.68,0.1,-0.9996080000000004
0.25,262,1.64,0.14,-0.9996080000000005
0.25,263,1.74,0.14,-0.9995960000000005
0.25,272,1.7,0.12,-0.9996120000000005
0.25,281,1.72,0.1,-0.9995920000000005
0.25,289,1.64,0.16,-0.9996000000000005
0.25,306,1.7,0.12,-0.9995960000000005
0.25,317,1.5,0.12,-0.9996440000000005
0.25,321,1.58,0.06,-0.9996520000000005
0.25,322,1.82,0.24,-0.9995079999999998
0.25,323,1.78,0.12,-0.9995720000000006
0.25,327,1.44,0.1,-0.9996479999999991
0.25,329,1.8,0.18,-0.9995360000000005
0.25,337,1.6,0.16,-0.9996160000000003
0.25,339,1.7,0.12,-0.9995960000000004
0.25,341,1.62,0.14,-0.9996199999999987
0.25,343,1.78,0.12,-0.9995800000000004
0.25,344,1.76,0.18,-0.9995600000000006
0.25,346,1.8,0.12,-0.9995840000000003
0.25,349,1.7,0.16,-0.9995880000000004
0.25,354,1.62,0.08,-0.9996360000000005
0.25,356,1.58,0.02,-0.9996760000000005
0.25,360,1.9,0.28,-0.9994759999999993
0.25,363,1.68,0.12,-0.9996080000000005
0.25,364,1.54,0.12,-0.9996360000000005
0.25,367,1.48,0.16,-0.9996399999999988
0.25,371,1.72,0.2,-0.9995600000000004
0.25,373,1.56,0.16,-0.9995920000000007
0.25,379,1.62,0.12,-0.9996200000000005
0.25,399,1.64,0.1,-0.9996240000000004
0.25,401,1.66,0.1,-0.9996120000000005
0.25,402,1.66,0.16,-0.9995880000000003
0.25,411,1.72,0.16,-0.9995920000000004
0.25,412,1.58,0.18,-0.9995960000000005
0.25,413,1.46,0.12,-0.9996520000000005
0.25,416,1.44,0.12,-0.9996560000000002
0.25,420,1.6,0.18,-0.9995920000000004
0.25,421,1.48,0.1,-0.9996639999999991
0.25,426,1.62,0.12,-0.9996040000000004
0.25,436,1.6,0.1,-0.9996320000000005
0.25,440,1.46,0.04,-0.9996920000000005
0.25,443,1.48,0.06,-0.9996800000000005
0.25,470,1.58,0.1,-0.999643999999999
0.25,475,1.54,0.12,-0.9996120000000004
0.25,483,1.8,0.14,-0.9995840000000006
0.25,488,1.7,0.18,-0.9995720000000006
0.25,497,1.7,0.2,-0.9995640000000003
0.25,511,1.64,0.14,-0.9996080000000004
0.25,514,1.8,0.14,-0.9995760000000005
0.25,515,1.76,0.2,-0.9995680000000005
0.25,517,1.56,0.1,-0.9996400000000004
0.25,523,1.68,0.14,-0.9995840000000003
0.25,528,1.94,0.16,-0.9995160000000004
0.25,529,1.8,0.14,-0.9995839999999994
0.25,535,1.42,0.06,-0.9996680000000004
0.25,543,1.62,0.06,-0.9996360000000004
0.25,548,1.56,0.14,-0.9996240000000004
0.25,557,1.66,0.16,-0.9995960000000005
0.25,564,1.78,0.18,-0.9995560000000003
0.25,567,1.56,0.08,-0.9996559999999991
0.25,572,1.64,0.08,-0.9996320000000004
0.25,576,1.58,0.18,-0.9996040000000002
0.25,591,1.56,0.12,-0.9996320000000004
0.25,596,1.72,0.12,-0.9995920000000004
0.25,598,1.68,0.18,-0.9995680000000006
0.25,604,1.78,0.3,-0.9995000000000002
0.25,606,1.76,0.14,-0.9995520000000004
0.25,615,1.54,0.04,-0.9996760000000005
0.25,627,1.82,0.16,-0.9995720000000006
0.25,630,1.5,0.04,-0.9996840000000005
0.25,643,1.5,0.16,-0.9996280000000004
0.25,644,1.76,0.2,-0.9995280000000005
0.25,645,1.64,0.18,-0.9995520000000003
0.25,648,1.9,0.26,-0.9995080000000004
0.25,655,1.62,0.16,-0.9995960000000004
0.25,657,1.6,0.08,-0.9996240000000003
0.25,670,1.48,0.1,-0.9996559999999987
0.25,675,1.58,0.1,-0.9996360000000004
0.25,685,1.76,0.16,-0.9995760000000006
0.25,687,1.82,0.18,-0.9995560000000004
0.25,688,1.58,0.12,-0.9996200000000003
0.25,689,1.52,0.12,-0.9996399999999989
0.25,697,1.7,0.12,-0.9995880000000006
0.25,699,1.62,0.12,-0.9996120000000005
0.25,700,1.58,0.06,-0.9996600000000005
0.25,712,1.72,0.16,-0.9995760000000006
0.25,720,1.68,0.16,-0.9995920000000004
0.25,724,1.54,0.08,-0.9996440000000004
0.25,727,1.42,0.06,-0.9996920000000002
0.25,730,1.42,0.06,-0.9996920000000005
0.25,738,1.82,0.2,-0.9995320000000005
0.25,745,1.64,0.1,-0.9996159999999987
0.25,748,1.8,0.16,-0.9995600000000002
0.25,751,1.44,0.12,-0.9996480000000005
0.25,754,1.58,0.14,-0.9996040000000004
0.25,757,1.84,0.18,-0.9995520000000004
0.25,770,1.48,0.06,-0.9996720000000004
0.25,771,1.76,0.12,-0.9995840000000006
0.25,772,1.64,0.08,-0.9996320000000005
0.25,773,1.72,0.14,-0.9996000000000005
0.25,779,1.58,0.04,-0.9996680000000004
0.25,782,1.66,0.1,-0.9996119999999975
0.25,783,1.62,0.12,-0.9996120000000005
0.25,785,1.52,0.2,-0.9996080000000005
0.25,787,1.52,0.12,-0.9996320000000003
0.25,791,1.64,0.1,-0.9996320000000005
0.25,803,1.48,0.12,-0.9996559999999985
0.25,804,1.54,0.08,-0.9996600000000003
0.25,813,1.6,0.16,-0.9996160000000005
0.25,827,1.36,0.1,-0.9996880000000005
0.25,828,1.7,0.12,-0.9995880000000004
0.25,831,1.64,0.18,-0.9995760000000005
0.25,833,1.4,0.12,-0.9996720000000007
0.25,842,1.72,0.14,-0.9995680000000006
0.25,849,1.64,0.14,-0.9996080000000004
0.25,851,1.82,0.14,-0.9995720000000005
0.25,853,1.52,0.14,-0.9996320000000003
0.25,855,1.44,0.14,-0.9996560000000003
0.25,856,1.56,0.14,-0.9996320000000004
0.25,857,1.54,0.06,-0.9996680000000004
0.25,862,1.86,0.18,-0.9995480000000004
0.25,865,1.72,0.08,-0.9996240000000004
0.25,879,1.74,0.16,-0.9995640000000006
0.25,882,1.54,0.18,-0.9995800000000004
0.25,886,1.78,0.12,-0.999595999999999
0.25,905,1.66,0.12,-0.9996200000000006
0.25,912,1.8,0.22,-0.9995199999999994
0.25,915,1.62,0.08,-0.9996440000000004
0.25,917,1.58,0.18,-0.9996039999999988
0.25,920,2.04,0.2,-0.9994960000000003
0.25,922,1.68,0.16,-0.9996000000000004
0.25,933,1.66,0.04,-0.9996520000000005
0.25,938,1.66,0.12,-0.9996040000000005
0.25,941,1.56,0.06,-0.9996640000000006
0.25,945,1.62,0.14,-0.9996200000000005
0.25,953,1.66,0.12,-0.9996040000000005
0.25,958,1.66,0.1,-0.9996040000000005
0.25,964,1.74,0.14,-0.9995880000000004
0.25,970,1.66,0.18,-0.9995800000000004
0.25,977,1.62,0.14,-0.9996200000000006
0.25,982,1.42,0.14,-0.9996520000000005
0.25,987,1.84,0.12,-0.9995680000000006
0.25,991,1.56,0.08,-0.9996400000000003
0.25,994,1.64,0.22,-0.9995680000000005
0.25,1001,1.68,0.2,-0.9995600000000008
0.25,1002,1.66,0.2,-0.9995800000000004
0.25,1009,1.72,0.16,-0.9995760000000006
0.25,1011,1.42,0.08,-0.9996840000000005
0.25,1013,1.74,0.14,-0.9995880000000004
0.25,1033,1.76,0.12,-0.9995920000000005
0.25,1045,1.42,0.16,-0.9996280000000002
0.25,1048,1.64,0.14,-0.9996079999999992
0.25,1062,1.84,0.14,-0.9995520000000007
0.25,1079,1.82,0.06,-0.9996040000000006
0.25,1085,1.46,0.08,-0.9996760000000005
0.25,1088,1.64,0.16,-0.9995840000000003
0.25,1089,1.78,0.12,-0.9995640000000005
0.25,1095,1.62,0.1,-0.9996040000000004
0.25,1098,1.7,0.14,-0.9995960000000005
0.25,1100,1.56,0.06,-0.9996640000000006
0.25,1108,1.66,0.1,-0.9996200000000005
0.25,1118,1.6,0.22,-0.9995680000000005
0.25,1133,1.6,0.14,-0.9996240000000004
0.25,1135,1.74,0.08,-0.9996120000000006
0.25,1136,1.56,0.16,-0.9996160000000005
0.25,1146,1.58,0.12,-0.9996120000000006
0.25,1156,1.62,0.08,-0.9996439999999991
0.25,1158,1.72,0.14,-0.9995840000000004
0.25,1164,1.66,0.12,-0.9995880000000006
0.25,1168,1.42,0.12,-0.9996680000000003
0.25,1169,1.78,0.22,-0.9995400000000005
0.25,1175,1.48,0.06,-0.9996800000000005
0.25,1180,1.66,0.1,-0.9996200000000005
0.25,1186,1.76,0.22,-0.9995520000000002
0.25,1202,1.46,0.12,-0.9996359999999985
0.25,1205,1.48,0.12,-0.9996560000000005
0.25,1214,1.72,0.18,-0.9995520000000007
0.25,1222,1.66,0.08,-0.9996040000000005
0.25,1224,1.54,0.08,-0.9996600000000005
0.25,1227,1.52,0.06,-0.9996720000000004
0.25,1234,1.78,0.18,-0.9995560000000006
0.25,1236,1.84,0.18,-0.9995440000000005
0.25,1242,1.76,0.14,-0.9995920000000004
0.25,1251,1.54,0.1,-0.9996440000000005
0.25,1260,1.94,0.26,-0.9994760000000004
0.25,1264,1.58,0.08,-0.9996519999999992
0.25,1265,1.66,0.22,-0.9995560000000004
0.25,1295,1.84,0.16,-0.9995680000000005
0.25,1298,1.86,0.1,-0.9995800000000006
0.25,1299,1.56,0.08,-0.9996560000000005
0.25,1303,1.68,0.2,-0.999559999999999
0.25,1304,1.58,0.06,-0.9996520000000004
0.25,1311,1.6,0.22,-0.9995760000000002
0.25,1313,1.54,0.12,-0.9996440000000004
0.25,1315,1.72,0.16,-0.9995840000000004
0.25,1322,1.6,0.2,-0.9995840000000004
0.25,1323,1.48,0.14,-0.9996480000000004
0.25,1342,1.64,0.16,-0.9996080000000002
0.25,1345,1.42,0.1,-0.9996680000000003
0.25,1364,1.7,0.12,-0.9996120000000005
0.25,1366,1.52,0.08,-0.9996560000000003
0.25,1375,1.58,0.12,-0.9996280000000006
0.25,1381,1.74,0.18,-0.9995640000000005
0.25,1388,1.62,0.16,-0.9996120000000005
0.25,1399,1.46,0.08,-0.9996680000000003
0.25,1405,1.54,0.14,-0.9996280000000004
0.25,1406,1.72,0.08,-0.9996240000000006
0.25,1409,1.76,0.16,-0.9995600000000004
0.25,1410,1.64,0.24,-0.9995679999999993
