resistance,node,metric,max_level,avg_level
0.25,3,8.36,1.0,-0.9942880000000001
0.25,8,7.94,0.98,-0.9941559999999989
0.25,12,7.9,1.0,-0.9943079999999997
0.25,16,7.86,1.0,-0.9948439999999996
0.25,18,7.9,1.0,-0.9942039999999998
0.25,37,7.96,1.0,-0.994296
0.25,39,8.58,1.0,-0.9939559999999996
0.25,46,7.72,1.0,-0.9940959999999999
0.25,47,8.36,0.98,-0.9940719999999998
0.25,48,8.36,0.98,-0.9936400000000001
0.25,49,7.6,1.0,-0.9948000000000001
0.25,54,7.8,0.98,-0.9941440000000001
0.25,58,7.56,1.0,-0.9943359999999997
0.25,59,7.94,0.96,-0.9943159999999998
0.25,61,7.86,1.0,-0.9941720000000001
0.25,73,7.88,0.98,-0.9941680000000003
0.25,76,8.08,1.0,-0.9942400000000002
0.25,79,8.34,0.98,-0.9944839999999998
0.25,80,8.28,0.98,-0.9939599999999998
0.25,86,7.34,1.0,-0.994492
0.25,88,7.7,0.98,-0.9943480000000001
0.25,91,8.04,1.0,-0.99424
0.25,92,7.9,1.0,-0.994372
0.25,95,7.9,1.0,-0.9945159999999998
0.25,97,8.06,1.0,-0.9942840000000005
0.25,104,7.92,1.0,-0.9945920000000001
0.25,105,8.18,1.0,-0.9944599999999998
0.25,106,8.78,1.0,-0.9936919999999992
0.25,110,8.2,1.0,-0.993736
0.25,114,8.46,1.0,-0.9938199999999998
0.25,116,8.58,1.0,-0.99354
0.25,117,8.04,1.0,-0.9939599999999998
0.25,121,7.86,1.0,-0.9941160000000002
0.25,122,7.82,1.0,-0.994228
0.25,125,8.12,1.0,-0.9941679999999998
0.25,129,7.58,1.0,-0.9946840000000001
0.25,130,7.7,1.0,-0.9942599999999999
0.25,133,7.38,1.0,-0.994892
0.25,134,7.68,1.0,-0.9942799999999999
0.25,145,7.84,1.0,-0.9940400000000003
0.25,157,8.62,1.0,-0.9933959999999996
0.25,167,8.44,1.0,-0.9938959999999999
0.25,175,8.24,1.0,-0.9939759999999999
0.25,178,8.38,1.0,-0.9944280000000001
0.25,189,8.08,1.0,-0.9942639999999998
0.25,192,8.22,1.0,-0.993708
0.25,193,8.44,1.0,-0.9938320000000005
0.25,211,7.96,1.0,-0.9945119999999998
0.25,221,8.12,1.0,-0.9942
0.25,230,8.2,1.0,-0.9939679999999999
0.25,240,8.32,1.0,-0.9941599999999998
0.25,252,7.56,1.0,-0.994288
0.25,262,8.64,1.0,-0.9940319999999996
0.25,266,8.36,1.0,-0.9939760000000006
0.25,267,7.7,1.0,-0.9941240000000002
0.25,273,7.8,1.0,-0.9941759999999998
0.25,276,7.74,1.0,-0.993908
0.25,278,8.42,1.0,-0.9940199999999997
0.25,279,7.54,1.0,-0.9945479999999998
0.25,280,7.72,1.0,-0.994368
0.25,283,7.6,1.0,-0.994272
0.25,284,8.3,0.98,-0.9937960000000001
0.25,289,8.8,1.0,-0.9939920000000001
0.25,290,8.74,1.0,-0.9940599999999997
0.25,292,8.26,1.0,-0.9940839999999999
0.25,299,7.88,0.96,-0.99436
0.25,300,7.7,1.0,-0.994244
0.25,311,8.3,1.0,-0.9941799999999997
0.25,322,7.82,1.0,-0.9944039999999997
0.25,325,8.14,1.0,-0.9941080000000001
0.25,330,7.24,1.0,-0.9949520000000003
0.25,337,8.22,1.0,-0.9938600000000002
0.25,338,8.36,1.0,-0.9940799999999999
0.25,339,8.12,1.0,-0.9942079999999999
0.25,341,7.88,0.98,-0.994344
0.25,346,8.12,1.0,-0.9942079999999998
0.25,347,8.08,0.98,-0.9941919999999999
0.25,350,8.14,1.0,-0.9944199999999997
0.25,352,7.8,1.0,-0.993768
0.25,353,7.72,1.0,-0.9944000000000002
0.25,354,8.26,1.0,-0.993916
0.25,367,7.78,1.0,-0.99426
0.25,368,8.32,1.0,-0.9938080000000004
0.25,373,7.98,1.0,-0.9941319999999995
0.25,374,8.1,1.0,-0.9943000000000005
0.25,377,8.0,1.0,-0.9940159999999999
0.25,387,7.96,1.0,-0.9943039999999996
0.25,390,7.48,0.98,-0.9942079999999999
0.25,396,8.42,1.0,-0.9941880000000003
0.25,397,7.52,1.0,-0.9940639999999997
0.25,407,7.74,1.0,-0.9943959999999998
0.25,415,7.88,1.0,-0.9944160000000001
0.25,419,7.9,1.0,-0.9943639999999999
0.25,434,8.34,1.0,-0.9942759999999999
0.25,444,7.94,1.0,-0.9944039999999994
0.25,448,8.24,1.0,-0.9943119999999999
0.25,474,7.08,0.98,-0.9942879999999998
0.25,476,8.06,1.0,-0.9935960000000001
0.25,480,7.66,1.0,-0.9943559999999999
0.25,483,8.44,1.0,-0.9942160000000001
0.25,485,8.98,1.0,-0.9936679999999997
0.25,493,8.34,1.0,-0.9939239999999998
0.25,494,7.68,1.0,-0.9939199999999998
0.25,496,8.28,1.0,-0.9940079999999998
0.25,499,7.12,1.0,-0.9945040000000002
0.25,500,7.08,0.98,-0.9948079999999999
0.25,503,7.6,1.0,-0.9942800000000003
0.25,505,7.54,1.0,-0.9945159999999998
0.25,508,7.88,1.0,-0.994136
0.25,515,7.66,1.0,-0.993932
0.25,518,8.52,1.0,-0.9938159999999999
0.25,525,7.04,1.0,-0.9945919999999998
0.25,532,8.24,1.0,-0.9940719999999998
0.25,539,7.68,1.0,-0.994376
0.25,543,8.28,1.0,-0.9939600000000003
0.25,553,7.9,1.0,-0.99446
0.25,556,8.04,0.98,-0.9941440000000002
0.25,559,8.34,0.98,-0.99434
0.25,565,8.3,1.0,-0.9941079999999997
0.25,577,9.0,1.0,-0.9939359999999996
0.25,581,8.14,1.0,-0.9944119999999999
0.25,585,8.0,0.96,-0.9943600000000002
0.25,593,7.18,1.0,-0.9948600000000001
0.25,604,7.9,1.0,-0.9942999999999997
0.25,609,7.84,1.0,-0.9942240000000001
0.25,610,8.48,1.0,-0.9941200000000001
0.25,616,8.36,0.98,-0.993928
0.25,625,7.78,0.98,-0.9945080000000002
0.25,627,7.68,1.0,-0.994344
0.25,628,8.18,1.0,-0.993916
0.25,632,7.62,1.0,-0.9944679999999996
0.25,634,7.66,1.0,-0.9943399999999998
0.25,637,7.68,1.0,-0.993992
0.25,644,8.66,1.0,-0.9943160000000002
0.25,645,8.02,1.0,-0.9939959999999998
0.25,660,7.38,0.98,-0.994756
0.25,661,8.24,1.0,-0.9938959999999999
0.25,664,8.34,1.0,-0.9941960000000001
0.25,690,7.98,1.0,-0.9939399999999999
0.25,692,8.26,1.0,-0.9941319999999998
0.25,694,7.98,1.0,-0.9941719999999996
0.25,696,8.38,1.0,-0.993772
0.25,699,8.18,1.0,-0.9942519999999995
0.25,702,8.0,1.0,-0.994336
0.25,715,7.8,0.98,-0.9944400000000002
0.25,720,8.46,0.98,-0.9941319999999998
0.25,721,8.26,1.0,-0.9939560000000002
0.25,733,8.06,1.0,-0.9940920000000001
0.25,737,8.06,1.0,-0.99414
0.25,740,7.68,1.0,-0.9943520000000009
0.25,744,7.78,1.0,-0.9941879999999998
0.25,756,7.88,1.0,-0.9945039999999998
0.25,768,7.96,1.0,-0.9944080000000003
0.25,769,7.98,0.98,-0.9944039999999998
0.25,771,7.82,1.0,-0.994316
0.25,779,7.74,1.0,-0.9942199999999997
0.25,784,7.26,1.0,-0.9944040000000001
0.25,785,8.48,0.98,-0.994208
0.25,787,8.38,1.0,-0.993436
0.25,788,8.46,1.0,-0.994004
0.25,793,7.74,0.98,-0.994284
0.25,802,8.1,0.98,-0.9943719999999998
0.25,803,8.12,1.0,-0.994464
0.25,839,8.1,1.0,-0.9940119999999999
0.25,846,7.98,1.0,-0.9943239999999998
0.25,850,7.56,1.0,-0.994248
0.25,854,7.56,1.0,-0.9942719999999998
0.25,858,8.12,1.0,-0.994168
0.25,863,8.4,1.0,-0.9937119999999999
0.25,868,8.72,1.0,-0.9936639999999997
